record_id,timestamp,corridor_id,junction_sequence,num_junctions,junction_spacing_m,corridor_length_km,cycle_time_sec,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident,bus_priority_active,ambulance_priority_active,ideal_offset_sec,applied_offset_sec,offset_accuracy,green_wave_success,stops_avoided,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
GW100037,2026-05-31 18:17:41,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,532.0,2.66,100,Weekend,False,Clear,False,0.0,True,False,False,78.1,90.0,0.708,False,5,1.0,8.3,51.7,1235.5,0.395,0.913,0.758,Accident detected nearby - reroute and reduced speed advised
GW100038,2026-01-22 06:39:17,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,429.0,2.14,100,Weekday,False,Clear,False,0.0,False,False,False,44.3,47.8,0.92,True,6,0.124,34.5,2.2,226.9,0.205,0.474,0.946,Green wave coordination successful - maintain current corridor offset
GW100039,2025-04-25 07:29:35,Hosur_Rd,Silk Board -> Electronic City Toll,2,813.0,0.81,90,Weekday,False,Clear,False,0.0,False,True,False,92.9,90.0,0.972,True,2,0.243,30.2,5.4,105.5,0.088,0.204,0.963,Bus priority granted - green extension issued to reduce transit delay
GW100040,2025-05-27 15:57:16,Tumkur_Rd,Yeshwantpur -> Rajajinagar -> Tumkur Road,3,547.0,1.09,110,Weekday,False,Clear,False,0.0,False,False,False,49.7,47.9,0.964,True,3,0.169,36.8,13.0,121.9,0.105,0.243,0.99,Green wave coordination successful - maintain current corridor offset
GW100041,2025-01-06 09:40:48,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,660.0,1.98,100,Weekday,False,Clear,False,0.0,False,False,False,84.4,90.0,0.926,False,3,0.856,14.0,48.4,565.3,0.284,0.657,0.942,Heavy congestion detected - signal timing extended and reroute suggested
GW100042,2025-01-28 10:05:14,Hosur_Rd,Silk Board -> Electronic City Toll,2,607.0,0.61,110,Weekday,False,Fog,False,0.0,False,False,False,66.3,75.6,0.86,False,0,0.758,19.4,39.4,146.3,0.109,0.251,0.948,Heavy congestion detected - signal timing extended and reroute suggested
GW100043,2025-12-08 21:21:42,Mysore_Rd,City Market -> KR Market -> Mysore Road -> Vijayanagar,4,526.0,1.58,120,Weekday,False,Light Rain,True,0.1,False,True,False,55.1,56.9,0.967,True,4,0.176,33.0,8.1,179.2,0.152,0.351,0.926,Bus priority granted - green extension issued to reduce transit delay
GW100044,2025-03-03 20:43:28,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,669.0,2.68,100,Weekday,False,Fog,False,0.0,False,False,False,81.9,79.4,0.969,True,5,0.184,28.8,9.2,350.5,0.254,0.586,0.976,Green wave coordination successful - maintain current corridor offset
GW100045,2025-07-04 08:06:02,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,441.0,1.76,90,Weekday,False,Clear,False,0.0,False,False,False,84.9,90.0,0.88,False,4,0.833,9.7,44.8,717.4,0.249,0.574,0.942,Heavy congestion detected - signal timing extended and reroute suggested
GW100046,2026-05-13 08:59:51,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,814.0,2.44,90,Weekday,False,Clear,False,0.0,False,False,False,106.1,90.0,0.913,False,0,1.0,9.4,49.1,986.5,0.359,0.83,0.939,Heavy congestion detected - signal timing extended and reroute suggested
GW100047,2025-09-10 13:54:23,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,581.0,2.9,100,Weekday,False,Fog,False,0.0,False,False,False,54.3,56.4,0.96,True,6,0.08,37.6,7.0,285.5,0.258,0.597,0.949,Green wave coordination successful - maintain current corridor offset
GW100048,2025-05-20 15:52:48,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,607.0,1.82,100,Weekday,False,Clear,False,0.0,False,False,False,66.4,66.4,1.0,True,4,0.172,30.6,5.5,215.0,0.176,0.406,0.977,Green wave coordination successful - maintain current corridor offset
GW100049,2025-03-13 19:20:01,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,428.0,1.28,90,Weekday,False,Clear,False,0.0,False,False,False,54.1,60.9,0.874,False,0,0.961,10.9,45.7,486.9,0.214,0.495,0.92,Heavy congestion detected - signal timing extended and reroute suggested
GW100050,2026-01-12 18:45:37,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,844.0,2.53,100,Weekday,False,Clear,False,0.0,False,False,False,139.3,90.0,0.984,False,2,0.932,9.1,51.3,1072.4,0.38,0.877,0.934,Heavy congestion detected - signal timing extended and reroute suggested
GW100051,2025-09-23 17:43:07,South_Loop,Banashankari -> Jayanagar 4th Block -> Basavanagudi -> JP Nagar -> Bannerghatta Road,5,508.0,2.03,100,Weekday,False,Clear,False,0.0,False,True,False,74.8,83.9,0.879,False,0,0.876,11.6,29.8,668.0,0.269,0.622,0.925,Bus priority granted - green extension issued to reduce transit delay
GW100052,2025-03-29 18:44:26,Mysore_Rd,City Market -> KR Market -> Mysore Road -> Vijayanagar,4,536.0,1.61,90,Weekend,False,Clear,False,0.0,False,False,False,63.2,44.1,0.697,False,3,0.765,17.8,35.3,354.3,0.209,0.482,0.979,Heavy congestion detected - signal timing extended and reroute suggested
GW100053,2025-03-24 13:10:44,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,725.0,3.63,110,Weekday,False,Light Rain,True,6.3,False,False,False,65.6,67.2,0.976,True,6,0.096,37.4,3.2,356.6,0.334,0.773,0.908,Light rain detected - minor speed reduction advised
GW100054,2025-07-13 15:41:33,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,448.0,2.24,100,Weekend,False,Heavy Rain,True,51.7,False,False,False,63.4,65.9,0.961,True,6,0.281,24.5,14.2,345.1,0.232,0.536,0.916,Light rain detected - minor speed reduction advised
GW100055,2025-12-10 22:00:45,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,537.0,2.68,120,Weekday,False,Clear,False,0.0,False,False,False,56.1,54.1,0.964,True,6,0.077,33.0,2.0,290.8,0.223,0.516,0.943,Green wave coordination successful - maintain current corridor offset
GW100056,2026-05-16 07:51:51,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,505.0,2.02,90,Weekend,False,Clear,False,0.0,False,True,False,62.0,64.5,0.96,True,5,0.252,27.0,3.7,264.6,0.206,0.476,0.984,Bus priority granted - green extension issued to reduce transit delay
GW100057,2025-01-04 17:59:32,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,612.0,1.84,90,Weekend,False,Clear,False,0.0,False,False,False,76.1,77.5,0.981,False,3,0.663,19.4,32.3,372.5,0.216,0.499,0.949,Moderate traffic flow - standard adaptive signal timing in effect
GW100058,2025-04-27 10:14:22,Tumkur_Rd,Yeshwantpur -> Rajajinagar -> Tumkur Road,3,329.0,0.66,120,Weekend,False,Clear,False,0.0,False,False,False,32.5,29.1,0.896,True,3,0.229,34.5,11.3,80.0,0.088,0.204,0.961,Green wave coordination successful - maintain current corridor offset
GW100059,2025-11-15 21:50:40,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,530.0,1.59,110,Weekend,False,Clear,False,0.0,False,False,False,57.9,64.4,0.888,True,4,0.087,31.9,2.0,174.7,0.158,0.365,0.938,Green wave coordination successful - maintain current corridor offset
GW100060,2025-06-13 13:37:12,Sarjapur_Rd,Koramangala Sony World -> HSR BDA Complex -> Sarjapur Road -> Varthur,4,810.0,2.43,110,Weekday,False,Clear,False,0.0,False,False,False,68.4,70.1,0.974,True,4,0.098,39.3,6.6,229.8,0.218,0.505,0.963,Green wave coordination successful - maintain current corridor offset
GW100061,2025-11-13 17:43:54,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,328.0,0.98,120,Weekday,False,Clear,False,0.0,False,True,False,44.6,34.8,0.781,False,0,0.937,10.9,37.9,348.5,0.156,0.361,0.909,Bus priority granted - green extension issued to reduce transit delay
GW100062,2026-05-25 07:43:48,Sarjapur_Rd,Koramangala Sony World -> HSR BDA Complex -> Sarjapur Road -> Varthur,4,519.0,1.56,100,Weekday,False,Clear,False,0.0,True,False,False,80.7,72.1,0.894,False,0,1.0,7.8,57.0,736.3,0.238,0.549,0.762,Accident detected nearby - reroute and reduced speed advised
GW100063,2025-11-19 07:47:12,Mysore_Rd,City Market -> KR Market -> Mysore Road -> Vijayanagar,4,422.0,1.27,90,Weekday,False,Clear,False,0.0,False,True,False,41.5,35.2,0.848,True,4,0.268,34.6,9.3,138.6,0.132,0.306,0.977,Bus priority granted - green extension issued to reduce transit delay
GW100064,2026-03-29 21:27:54,South_Loop,Banashankari -> Jayanagar 4th Block -> Basavanagudi -> JP Nagar -> Bannerghatta Road,5,700.0,2.8,110,Weekend,False,Fog,False,0.0,False,False,False,78.3,80.6,0.97,True,5,0.093,30.9,10.0,322.7,0.257,0.593,0.95,Green wave coordination successful - maintain current corridor offset
GW100065,2026-01-06 19:14:03,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,759.0,3.04,110,Weekday,False,Clear,False,0.0,False,False,False,86.2,90.0,0.924,False,2,0.892,14.6,53.4,776.9,0.44,1.016,0.907,Heavy congestion detected - signal timing extended and reroute suggested
GW100066,2025-05-26 16:42:52,South_Loop,Banashankari -> Jayanagar 4th Block -> Basavanagudi -> JP Nagar -> Bannerghatta Road,5,488.0,1.95,100,Weekday,False,Rain,True,19.0,False,True,False,63.4,71.1,0.878,False,2,0.836,14.3,34.1,538.0,0.274,0.632,0.902,Bus priority granted - green extension issued to reduce transit delay
GW100067,2025-07-23 13:58:06,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,691.0,2.76,100,Weekday,False,Fog,False,0.0,False,False,False,69.7,70.5,0.989,True,5,0.112,32.9,5.2,286.9,0.267,0.617,0.959,Green wave coordination successful - maintain current corridor offset
GW100068,2025-01-13 05:04:16,Hosur_Rd,Silk Board -> Electronic City Toll,2,500.0,0.5,120,Weekday,False,Clear,False,0.0,False,False,False,44.1,41.5,0.94,True,2,0.061,39.2,10.1,58.5,0.06,0.138,0.935,Green wave coordination successful - maintain current corridor offset
GW100069,2026-01-25 11:24:16,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,436.0,1.31,110,Weekend,False,Clear,False,0.0,False,False,False,48.2,46.7,0.97,True,4,0.126,31.5,4.8,155.3,0.13,0.301,0.97,Green wave coordination successful - maintain current corridor offset
GW100070,2025-05-18 18:32:02,Sarjapur_Rd,Koramangala Sony World -> HSR BDA Complex -> Sarjapur Road -> Varthur,4,331.0,0.99,100,Weekend,False,Clear,False,0.0,False,True,False,42.2,46.3,0.903,False,0,0.659,19.0,24.4,201.8,0.122,0.283,0.943,Bus priority granted - green extension issued to reduce transit delay
GW100071,2026-03-13 11:38:29,Hosur_Rd,Silk Board -> Electronic City Toll,2,307.0,0.31,110,Weekday,False,Clear,False,0.0,False,False,False,32.1,32.0,0.997,True,2,0.108,32.7,2.6,36.6,0.036,0.082,0.957,Green wave coordination successful - maintain current corridor offset
GW100072,2025-11-14 12:43:43,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,613.0,3.06,90,Weekday,False,Clear,False,0.0,False,False,False,64.0,67.7,0.942,True,6,0.09,31.9,2.0,336.0,0.261,0.603,0.99,Green wave coordination successful - maintain current corridor offset
GW100073,2026-05-03 18:10:03,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,417.0,1.67,120,Weekend,False,Clear,False,0.0,False,True,False,52.6,39.0,0.741,False,1,0.736,17.3,32.0,393.8,0.237,0.547,0.95,Bus priority granted - green extension issued to reduce transit delay
GW100074,2025-12-25 17:29:27,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,438.0,1.75,100,Weekday,True,Clear,False,0.0,False,True,False,81.0,84.3,0.959,False,2,1.0,6.6,32.3,1018.7,0.255,0.589,0.833,Bus priority granted - green extension issued to reduce transit delay
GW100075,2025-11-06 17:42:18,Old_Airport_Rd,Trinity Circle -> Ulsoor -> Domlur -> Old Airport Road -> HAL Airport Road,5,423.0,1.69,90,Weekday,False,Clear,False,0.0,False,True,False,53.9,45.7,0.849,False,1,0.932,11.8,28.0,492.7,0.23,0.531,0.944,Bus priority granted - green extension issued to reduce transit delay
GW100076,2025-06-15 08:09:08,ORR_East,Silk Board -> Bellandur -> Marathahalli -> KR Puram,4,584.0,1.75,120,Weekend,False,Heavy Rain,True,37.1,False,False,False,81.0,90.0,0.877,False,0,1.0,8.8,59.9,766.1,0.281,0.648,0.859,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
GW100077,2026-06-01 06:17:28,Hosur_Rd,Silk Board -> Electronic City Toll,2,581.0,0.58,90,Weekday,False,Clear,False,0.0,False,True,False,49.5,52.7,0.937,True,2,0.123,41.8,7.2,60.2,0.078,0.181,0.969,Bus priority granted - green extension issued to reduce transit delay
GW100078,2025-01-28 10:07:54,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,569.0,2.85,100,Weekday,False,Clear,False,0.0,False,False,False,71.0,70.1,0.987,False,1,0.687,18.8,39.1,574.3,0.353,0.816,0.971,Moderate traffic flow - standard adaptive signal timing in effect
GW100079,2026-03-27 11:27:11,Sarjapur_Rd,Koramangala Sony World -> HSR BDA Complex -> Sarjapur Road -> Varthur,4,705.0,2.12,100,Weekday,True,Clear,False,0.0,False,False,False,65.4,64.6,0.989,True,4,0.21,38.3,9.8,202.1,0.223,0.514,0.917,Green wave coordination successful - maintain current corridor offset
GW100080,2026-01-23 18:58:31,ORR_North,Hebbal -> Nagawara -> RT Nagar -> Yeshwantpur,4,699.0,2.1,100,Weekday,False,Clear,False,0.0,False,False,False,85.1,89.9,0.944,False,0,0.939,12.1,50.6,672.6,0.291,0.672,0.925,Heavy congestion detected - signal timing extended and reroute suggested
GW100081,2025-11-08 19:18:58,Tumkur_Rd,Yeshwantpur -> Rajajinagar -> Tumkur Road,3,351.0,0.7,90,Weekend,False,Rain,True,10.8,False,False,False,38.6,28.4,0.735,False,0,0.788,18.4,41.8,175.6,0.115,0.265,0.911,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
GW100082,2026-05-28 17:02:03,Central_Loop,Majestic -> Anand Rao Circle -> Chalukya Circle -> MG Road -> Cubbon Road -> Richmond Circle,6,569.0,2.85,90,Weekday,False,Clear,False,0.0,False,True,False,72.2,70.0,0.97,False,2,0.669,18.9,19.3,543.5,0.342,0.789,0.983,Bus priority granted - green extension issued to reduce transit delay
