decision_id,timestamp,road_id,junction_id,traffic_ai_recommendation,emergency_ai_recommendation,environment_ai_recommendation,infrastructure_ai_recommendation,public_transport_recommendation,master_ai_decision,reason
DEC00011,2026-07-30T14:11:00,R0021,J0018,Extend green phase on approach,Clear emergency corridor now,Conditions normal,Schedule maintenance — high stress,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00012,2026-07-29T14:31:00,R0012,J0016,Reroute via alternate arterial,Clear emergency corridor now,Issue low-visibility advisory,Flag for inspection,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00013,2026-07-30T04:08:00,R0047,J0013,No action required,No emergency vehicles active,Issue low-visibility advisory,Flag for inspection,Prioritize bus at junction,Prioritize bus at junction,Weighted priority: Traffic flow optimization prioritized
DEC00014,2026-07-31T05:59:00,R0029,J0013,Activate adaptive signal control,No emergency vehicles active,Conditions normal,Schedule maintenance — high stress,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00015,2026-07-31T02:19:00,R0010,J0001,No action required,Pre-empt next 3 signals,Issue low-visibility advisory,Flag for inspection,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00016,2026-07-30T01:15:00,R0010,J0001,No action required,Clear emergency corridor now,Conditions normal,Schedule maintenance — high stress,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00017,2026-07-30T14:30:00,R0012,J0016,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Schedule maintenance — high stress,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00018,2026-07-30T01:38:00,R0002,J0006,Reroute via alternate arterial,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Infrastructure nominal,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00019,2026-07-31T06:57:00,R0005,J0008,Activate adaptive signal control,Clear emergency corridor now,Conditions normal,Schedule maintenance — high stress,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00020,2026-07-31T04:25:00,R0007,J0026,Activate adaptive signal control,Clear emergency corridor now,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00021,2026-07-30T09:54:00,R0002,J0006,Extend green phase on approach,Clear emergency corridor now,Issue low-visibility advisory,Schedule maintenance — high stress,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00022,2026-07-29T01:50:00,R0050,J0018,Extend green phase on approach,No emergency vehicles active,Restrict heavy vehicles — AQI high,Flag for inspection,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00023,2026-07-29T19:00:00,R0001,J0019,Extend green phase on approach,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00024,2026-07-29T21:05:00,R0031,J0013,No action required,Pre-empt next 3 signals,Conditions normal,Infrastructure nominal,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00025,2026-07-29T02:53:00,R0016,J0010,Extend green phase on approach,No emergency vehicles active,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00026,2026-07-29T19:21:00,R0003,J0023,Extend green phase on approach,No emergency vehicles active,Restrict heavy vehicles — AQI high,Flag for inspection,Maintain schedule,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00027,2026-07-29T20:07:00,R0001,J0019,Activate adaptive signal control,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Infrastructure nominal,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00028,2026-07-29T15:20:00,R0023,J0002,Reroute via alternate arterial,Pre-empt next 3 signals,Issue low-visibility advisory,Infrastructure nominal,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00029,2026-07-31T00:47:00,R0032,J0030,Activate adaptive signal control,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00030,2026-07-29T20:37:00,R0005,J0008,Reroute via alternate arterial,Clear emergency corridor now,Conditions normal,Schedule maintenance — high stress,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00031,2026-07-31T10:03:00,R0012,J0016,No action required,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Prioritize bus at junction,Prioritize bus at junction,Weighted priority: Traffic flow optimization prioritized
DEC00032,2026-07-31T20:09:00,R0010,J0001,Reroute via alternate arterial,No emergency vehicles active,Conditions normal,Schedule maintenance — high stress,Maintain schedule,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00033,2026-07-29T20:17:00,R0043,J0025,Reroute via alternate arterial,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Increase bus frequency on route,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00034,2026-07-31T17:19:00,R0050,J0018,Activate adaptive signal control,No emergency vehicles active,Restrict heavy vehicles — AQI high,Infrastructure nominal,Maintain schedule,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00035,2026-07-29T12:20:00,R0005,J0008,Extend green phase on approach,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Infrastructure nominal,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00036,2026-07-31T19:28:00,R0021,J0018,Activate adaptive signal control,Pre-empt next 3 signals,Conditions normal,Infrastructure nominal,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00037,2026-07-29T18:52:00,R0028,J0004,No action required,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Flag for inspection,Maintain schedule,Maintain schedule,Weighted priority: Traffic flow optimization prioritized
DEC00038,2026-07-31T19:15:00,R0042,J0016,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Maintain schedule,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00039,2026-07-31T09:35:00,R0035,J0008,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Flag for inspection,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00040,2026-07-30T03:45:00,R0034,J0009,Activate adaptive signal control,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Infrastructure nominal,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00041,2026-07-30T23:41:00,R0002,J0006,Reroute via alternate arterial,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Increase bus frequency on route,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00042,2026-07-31T09:29:00,R0024,J0009,Activate adaptive signal control,No emergency vehicles active,Conditions normal,Schedule maintenance — high stress,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00043,2026-07-29T16:00:00,R0016,J0010,Activate adaptive signal control,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Flag for inspection,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00044,2026-07-31T09:59:00,R0045,J0005,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Schedule maintenance — high stress,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00045,2026-07-31T17:06:00,R0024,J0009,Extend green phase on approach,Clear emergency corridor now,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00046,2026-07-29T10:47:00,R0039,J0019,Activate adaptive signal control,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Infrastructure nominal,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00047,2026-07-30T00:54:00,R0016,J0010,Extend green phase on approach,Clear emergency corridor now,Issue low-visibility advisory,Infrastructure nominal,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00048,2026-07-30T22:03:00,R0031,J0013,Activate adaptive signal control,No emergency vehicles active,Conditions normal,Infrastructure nominal,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00049,2026-07-29T04:23:00,R0029,J0013,Extend green phase on approach,No emergency vehicles active,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00050,2026-07-31T14:01:00,R0039,J0019,Activate adaptive signal control,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Infrastructure nominal,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00051,2026-07-29T21:24:00,R0036,J0018,Reroute via alternate arterial,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00052,2026-07-31T06:40:00,R0018,J0003,Extend green phase on approach,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Flag for inspection,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00053,2026-07-29T10:32:00,R0040,J0012,Extend green phase on approach,Pre-empt next 3 signals,Conditions normal,Schedule maintenance — high stress,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00054,2026-07-31T07:18:00,R0045,J0005,No action required,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Prioritize bus at junction,Prioritize bus at junction,Weighted priority: Traffic flow optimization prioritized
DEC00055,2026-07-30T02:35:00,R0025,J0020,Activate adaptive signal control,Clear emergency corridor now,Conditions normal,Flag for inspection,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00056,2026-07-30T21:48:00,R0018,J0003,Extend green phase on approach,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Infrastructure nominal,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00057,2026-07-29T08:55:00,R0002,J0006,Activate adaptive signal control,No emergency vehicles active,Restrict heavy vehicles — AQI high,Flag for inspection,Increase bus frequency on route,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00058,2026-07-29T04:25:00,R0014,J0017,Extend green phase on approach,No emergency vehicles active,Restrict heavy vehicles — AQI high,Flag for inspection,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00059,2026-07-31T18:03:00,R0016,J0010,Reroute via alternate arterial,Clear emergency corridor now,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00060,2026-07-31T00:41:00,R0003,J0023,Extend green phase on approach,No emergency vehicles active,Restrict heavy vehicles — AQI high,Infrastructure nominal,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00061,2026-07-31T05:20:00,R0049,J0022,Reroute via alternate arterial,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00062,2026-07-30T21:14:00,R0047,J0013,Reroute via alternate arterial,Pre-empt next 3 signals,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00063,2026-07-31T17:07:00,R0027,J0012,Extend green phase on approach,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Flag for inspection,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00064,2026-07-31T15:13:00,R0038,J0014,Extend green phase on approach,No emergency vehicles active,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00065,2026-07-29T19:13:00,R0006,J0007,Extend green phase on approach,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Flag for inspection,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00066,2026-07-30T15:42:00,R0050,J0018,Activate adaptive signal control,No emergency vehicles active,Conditions normal,Schedule maintenance — high stress,Maintain schedule,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00067,2026-07-30T08:38:00,R0024,J0009,No action required,Clear emergency corridor now,Issue low-visibility advisory,Flag for inspection,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00068,2026-07-29T13:17:00,R0014,J0017,Extend green phase on approach,Pre-empt next 3 signals,Issue low-visibility advisory,Flag for inspection,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00069,2026-07-29T12:50:00,R0001,J0019,Activate adaptive signal control,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00070,2026-07-30T14:14:00,R0030,J0021,Reroute via alternate arterial,Pre-empt next 3 signals,Conditions normal,Schedule maintenance — high stress,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00071,2026-07-31T14:54:00,R0037,J0024,Reroute via alternate arterial,No emergency vehicles active,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Increase bus frequency on route,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00072,2026-07-29T16:55:00,R0017,J0022,No action required,No emergency vehicles active,Conditions normal,Flag for inspection,Increase bus frequency on route,Increase bus frequency on route,Weighted priority: Traffic flow optimization prioritized
DEC00073,2026-07-31T07:50:00,R0037,J0024,No action required,Clear emergency corridor now,Conditions normal,Infrastructure nominal,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00074,2026-07-30T18:49:00,R0040,J0012,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00075,2026-07-29T05:49:00,R0024,J0009,Extend green phase on approach,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Infrastructure nominal,Maintain schedule,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00076,2026-07-29T21:06:00,R0040,J0012,Extend green phase on approach,Pre-empt next 3 signals,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00077,2026-07-29T09:57:00,R0007,J0026,Reroute via alternate arterial,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Flag for inspection,Maintain schedule,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00078,2026-07-31T15:36:00,R0015,J0027,No action required,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Maintain schedule,Weighted priority: Traffic flow optimization prioritized
DEC00079,2026-07-29T14:47:00,R0030,J0021,No action required,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00080,2026-07-30T19:19:00,R0026,J0028,No action required,Pre-empt next 3 signals,Conditions normal,Infrastructure nominal,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00081,2026-07-29T15:36:00,R0022,J0015,No action required,Pre-empt next 3 signals,Issue low-visibility advisory,Flag for inspection,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00082,2026-07-29T19:52:00,R0018,J0003,No action required,Clear emergency corridor now,Issue low-visibility advisory,Schedule maintenance — high stress,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00083,2026-07-31T03:55:00,R0041,J0005,Activate adaptive signal control,No emergency vehicles active,Issue low-visibility advisory,Schedule maintenance — high stress,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00084,2026-07-30T04:52:00,R0004,J0011,Reroute via alternate arterial,Hold — awaiting dispatch confirmation,Conditions normal,Schedule maintenance — high stress,Increase bus frequency on route,Reroute via alternate arterial,Weighted priority: Traffic flow optimization prioritized
DEC00085,2026-07-29T11:24:00,R0002,J0006,No action required,No emergency vehicles active,Conditions normal,Flag for inspection,Increase bus frequency on route,Increase bus frequency on route,Weighted priority: Traffic flow optimization prioritized
DEC00086,2026-07-31T13:38:00,R0010,J0001,Extend green phase on approach,No emergency vehicles active,Conditions normal,Schedule maintenance — high stress,Maintain schedule,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00087,2026-07-31T10:30:00,R0027,J0012,Activate adaptive signal control,No emergency vehicles active,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Increase bus frequency on route,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00088,2026-07-31T17:45:00,R0022,J0015,Reroute via alternate arterial,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Infrastructure nominal,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00089,2026-07-31T05:07:00,R0031,J0013,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00090,2026-07-29T19:44:00,R0001,J0019,Activate adaptive signal control,Clear emergency corridor now,Issue low-visibility advisory,Flag for inspection,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00091,2026-07-31T20:11:00,R0021,J0018,Reroute via alternate arterial,Clear emergency corridor now,Restrict heavy vehicles — AQI high,Infrastructure nominal,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00092,2026-07-29T00:30:00,R0021,J0018,Extend green phase on approach,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00093,2026-07-29T04:58:00,R0029,J0013,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00094,2026-07-31T03:32:00,R0014,J0017,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00095,2026-07-29T01:57:00,R0014,J0017,Reroute via alternate arterial,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Flag for inspection,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00096,2026-07-29T17:01:00,R0024,J0009,Reroute via alternate arterial,Clear emergency corridor now,Conditions normal,Infrastructure nominal,Prioritize bus at junction,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00097,2026-07-31T00:05:00,R0045,J0005,No action required,Hold — awaiting dispatch confirmation,Conditions normal,Infrastructure nominal,Maintain schedule,Maintain schedule,Weighted priority: Traffic flow optimization prioritized
DEC00098,2026-07-31T10:29:00,R0035,J0008,No action required,No emergency vehicles active,Restrict heavy vehicles — AQI high,Schedule maintenance — high stress,Maintain schedule,Maintain schedule,Weighted priority: Traffic flow optimization prioritized
DEC00099,2026-07-30T14:54:00,R0024,J0009,Activate adaptive signal control,Pre-empt next 3 signals,Issue low-visibility advisory,Infrastructure nominal,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00100,2026-07-29T11:57:00,R0043,J0025,No action required,No emergency vehicles active,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Increase bus frequency on route,Weighted priority: Traffic flow optimization prioritized
DEC00101,2026-07-31T19:46:00,R0007,J0026,Extend green phase on approach,Clear emergency corridor now,Issue low-visibility advisory,Infrastructure nominal,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00102,2026-07-30T15:34:00,R0048,J0015,Extend green phase on approach,Hold — awaiting dispatch confirmation,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00103,2026-07-29T15:37:00,R0027,J0012,Activate adaptive signal control,Pre-empt next 3 signals,Conditions normal,Flag for inspection,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00104,2026-07-31T06:02:00,R0013,J0021,No action required,Clear emergency corridor now,Conditions normal,Infrastructure nominal,Maintain schedule,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00105,2026-07-30T12:06:00,R0001,J0019,Reroute via alternate arterial,Pre-empt next 3 signals,Issue low-visibility advisory,Infrastructure nominal,Maintain schedule,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00106,2026-07-29T02:07:00,R0020,J0029,No action required,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Infrastructure nominal,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00107,2026-07-30T19:20:00,R0002,J0006,Activate adaptive signal control,No emergency vehicles active,Issue low-visibility advisory,Flag for inspection,Prioritize bus at junction,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00108,2026-07-30T02:18:00,R0022,J0015,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Flag for inspection,Maintain schedule,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00109,2026-07-31T05:18:00,R0040,J0012,No action required,Clear emergency corridor now,Issue low-visibility advisory,Infrastructure nominal,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00110,2026-07-31T11:43:00,R0047,J0013,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Increase bus frequency on route,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00111,2026-07-31T05:31:00,R0015,J0027,Extend green phase on approach,Pre-empt next 3 signals,Issue low-visibility advisory,Schedule maintenance — high stress,Prioritize bus at junction,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00112,2026-07-29T12:44:00,R0049,J0022,Reroute via alternate arterial,Pre-empt next 3 signals,Conditions normal,Schedule maintenance — high stress,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00113,2026-07-29T03:47:00,R0002,J0006,No action required,Clear emergency corridor now,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00114,2026-07-29T17:49:00,R0040,J0012,Extend green phase on approach,Hold — awaiting dispatch confirmation,Restrict heavy vehicles — AQI high,Flag for inspection,Prioritize bus at junction,Extend green phase on approach,Weighted priority: Traffic flow optimization prioritized
DEC00115,2026-07-30T16:32:00,R0030,J0021,Reroute via alternate arterial,Pre-empt next 3 signals,Restrict heavy vehicles — AQI high,Flag for inspection,Increase bus frequency on route,Pre-empt next 3 signals,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
DEC00116,2026-07-30T13:32:00,R0013,J0021,Activate adaptive signal control,Hold — awaiting dispatch confirmation,Conditions normal,Flag for inspection,Increase bus frequency on route,Activate adaptive signal control,Weighted priority: Traffic flow optimization prioritized
DEC00117,2026-07-29T15:08:00,R0006,J0007,Activate adaptive signal control,Clear emergency corridor now,Issue low-visibility advisory,Flag for inspection,Increase bus frequency on route,Clear emergency corridor now,Weighted priority: Emergency > Traffic > Transport > Infra > Environment
