decision_id,timestamp,junction_id,junction_name,decision_type,model_version,input_features_summary,decision_value,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident,bus_priority_active,ambulance_priority_active,congestion_index,outcome_success,processing_latency_ms,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
DEC700064,2025-07-24 13:26:30,J023,Basavanagudi,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=27veh|congestion=0.16|rain=N|festival=N|accident=N,39.6,Weekday,False,Clear,False,0.0,False,False,False,0.159,True,62,37.7,10.0,85.5,0.089,0.206,0.958,Normal free-flow traffic - standard signal timing maintained
DEC700065,2025-08-05 06:13:50,J014,Electronic City Toll,Route Recommendation,ARGUS-DT-v2.3,queue=26veh|congestion=0.22|rain=N|festival=N|accident=N,Primary Route,Weekday,False,Clear,False,0.0,False,False,False,0.225,True,70,33.0,14.0,73.7,0.063,0.146,0.947,Normal free-flow traffic - standard signal timing maintained
DEC700066,2026-06-17 18:00:54,J037,Kadugodi,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=59veh|congestion=0.88|rain=N|festival=N|accident=N,82.7,Weekday,False,Clear,False,0.0,False,False,False,0.879,True,52,16.6,55.8,263.5,0.172,0.397,0.971,Heavy congestion detected - signal timing extended and reroute suggested
DEC700067,2025-08-26 18:56:43,J011,Indiranagar 100ft Road,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=83veh|congestion=0.96|rain=N|festival=N|accident=N,87.8,Weekday,False,Clear,False,0.0,False,False,False,0.964,True,87,12.1,63.3,381.2,0.157,0.362,0.944,Heavy congestion detected - signal timing extended and reroute suggested
DEC700068,2025-10-20 19:23:44,J006,Tin Factory,Green Wave Coordination,ARGUS-DT-v2.4.1,queue=86veh|congestion=1.00|rain=Y|festival=Y|accident=N,Offset Re-planned,Weekday,True,Rain,True,8.6,False,False,False,0.55,True,74,27.1,43.9,115.4,0.076,0.175,0.87,Festival crowd surge detected - alternate route and extended cycle recommended
DEC700069,2026-01-25 17:48:11,J013,HSR BDA Complex,Priority Grant,ARGUS-DT-v2.4,queue=68veh|congestion=0.70|rain=N|festival=N|accident=N,Green Extension +12s,Weekend,False,Fog,False,0.0,False,True,False,0.492,True,88,24.6,28.9,159.7,0.107,0.246,0.947,Bus priority granted - green extension issued to reduce transit delay
DEC700070,2025-10-21 13:13:11,J008,Jayanagar 4th Block,Reroute Advisory,ARGUS-DT-v2.4.1,queue=63veh|congestion=0.58|rain=Y|festival=Y|accident=N,No Reroute Needed,Weekday,True,Rain,True,19.6,False,False,False,0.374,True,61,34.3,29.2,64.8,0.053,0.124,0.867,Light rain detected - minor speed reduction advised
DEC700071,2025-02-28 06:14:07,J010,Shivajinagar,Priority Grant,ARGUS-DT-v2.4.1,queue=36veh|congestion=0.28|rain=N|festival=N|accident=N,Green Extension +12s,Weekday,False,Clear,False,0.0,False,True,False,0.195,False,35,28.7,18.2,150.6,0.109,0.252,0.915,Bus priority granted - green extension issued to reduce transit delay
DEC700072,2025-06-19 18:37:33,J020,Malleshwaram Circle,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=82veh|congestion=1.00|rain=Y|festival=N|accident=N,90.0,Weekday,False,Rain,True,19.8,False,False,False,1.0,True,92,7.6,65.1,161.1,0.053,0.122,0.86,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
DEC700073,2025-05-04 06:39:20,J005,Yeshwantpur,Route Recommendation,ARGUS-DT-v2.3,queue=25veh|congestion=0.23|rain=N|festival=N|accident=N,Primary Route,Weekend,False,Clear,False,0.0,False,False,False,0.228,True,68,39.3,16.3,56.3,0.075,0.173,0.96,Normal free-flow traffic - standard signal timing maintained
DEC700074,2025-05-05 13:16:14,J039,KR Market,Route Recommendation,ARGUS-DT-v2.4.1,queue=34veh|congestion=0.21|rain=N|festival=N|accident=N,Primary Route,Weekday,False,Clear,False,0.0,False,False,False,0.21,True,45,42.0,11.4,133.2,0.145,0.335,0.981,Normal free-flow traffic - standard signal timing maintained
DEC700075,2025-03-14 18:56:01,J004,Hebbal,Priority Grant,ARGUS-DT-v2.4.1,queue=72veh|congestion=1.00|rain=N|festival=Y|accident=N,Green Extension +12s,Weekday,True,Clear,False,0.0,False,True,False,0.7,True,74,18.9,49.2,253.8,0.138,0.32,0.904,Bus priority granted - green extension issued to reduce transit delay
DEC700076,2026-04-22 08:08:24,J025,Bannerghatta Road,Signal Timing Adjustment,ARGUS-DT-v2.4,queue=84veh|congestion=0.90|rain=N|festival=N|accident=N,84.3,Weekday,False,Clear,False,0.0,False,False,False,0.904,True,74,13.1,55.9,317.1,0.155,0.357,0.939,Heavy congestion detected - signal timing extended and reroute suggested
DEC700077,2025-05-17 16:59:30,J015,Bellandur,Signal Timing Adjustment,ARGUS-DT-v2.4.1,queue=45veh|congestion=0.53|rain=N|festival=N|accident=N,61.6,Weekend,False,Clear,False,0.0,False,False,False,0.527,True,49,25.0,37.1,109.6,0.07,0.162,0.977,Moderate traffic flow - standard adaptive signal timing in effect
DEC700078,2026-06-07 10:14:22,J023,Basavanagudi,Priority Grant,ARGUS-DT-v2.4.1,queue=53veh|congestion=0.43|rain=N|festival=N|accident=N,Green Extension +12s,Weekend,False,Clear,False,0.0,False,True,False,0.301,True,89,26.2,20.7,51.5,0.027,0.062,0.912,Bus priority granted - green extension issued to reduce transit delay
DEC700079,2025-11-11 18:50:54,J006,Tin Factory,Route Recommendation,ARGUS-DT-v2.4.1,queue=70veh|congestion=1.00|rain=Y|festival=N|accident=N,Alternate Route,Weekday,False,Rain,True,8.8,False,False,False,1.0,True,84,8.0,69.4,479.6,0.141,0.327,0.854,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
