record_id,timestamp,junction_id,junction_name,neighbor_junction_id,neighbor_junction_name,approach_direction,num_lanes,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident,priority_class,incoming_vehicle_count,queue_length_vehicles,requested_green_time_sec,granted_green_time_sec,negotiation_rounds,negotiation_outcome,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
JN100011,2026-05-18 07:31:00,J032,Richmond Circle,J042,Anand Rao Circle,South,4,Weekday,False,Clear,False,0.0,False,Normal,31,29,31.2,43.3,1,Accepted,0.468,27.8,29.7,117.1,0.097,0.225,0.965,Moderate traffic flow - standard adaptive signal timing in effect
JN100012,2026-02-27 13:19:48,J003,KR Puram,J017,Whitefield ITPL,South,2,Weekday,False,Fog,False,0.0,False,Normal,22,19,20.4,45.2,1,Accepted,0.113,30.4,5.5,72.6,0.055,0.127,0.971,Normal free-flow traffic - standard signal timing maintained
JN100013,2026-04-19 10:47:55,J019,RT Nagar,J001,Silk Board,West,4,Weekend,False,Clear,False,0.0,False,Normal,22,16,18.2,44.2,2,Accepted,0.204,34.1,9.7,98.7,0.074,0.172,0.963,Normal free-flow traffic - standard signal timing maintained
JN100014,2025-03-15 18:59:23,J001,Silk Board,J008,Jayanagar 4th Block,West,3,Weekend,True,Light Rain,True,1.2,False,Normal,55,49,38.2,34.1,4,Counter-Offer Accepted,0.913,11.3,63.6,218.9,0.095,0.218,0.814,Festival crowd surge detected - alternate route and extended cycle recommended
JN100015,2025-07-18 08:07:37,J015,Bellandur,J002,Marathahalli,West,3,Weekday,False,Clear,False,0.0,False,Normal,50,42,34.1,43.9,1,Accepted,0.77,17.3,50.6,180.0,0.11,0.254,0.949,Heavy congestion detected - signal timing extended and reroute suggested
JN100016,2025-02-10 18:59:29,J027,Mysore Road,J035,Domlur,South,3,Weekday,False,Clear,False,0.0,False,Normal,56,47,38.4,37.0,2,Accepted,0.899,9.5,63.8,288.7,0.112,0.258,0.941,Heavy congestion detected - signal timing extended and reroute suggested
JN100017,2026-06-15 08:14:54,J007,Banashankari,J010,Shivajinagar,South,3,Weekday,False,Heavy Rain,True,30.2,False,Normal,52,47,41.3,26.9,4,Counter-Offer Accepted,0.966,13.1,63.8,152.7,0.077,0.177,0.882,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
JN100018,2025-12-28 07:48:27,J032,Richmond Circle,J022,Rajajinagar,East,2,Weekend,False,Clear,False,0.0,False,Bus,46,38,46.4,42.8,3,Priority Granted (Bus),0.468,26.1,16.0,95.5,0.082,0.19,0.959,Bus priority granted - green extension issued to reduce transit delay
JN100019,2025-05-03 21:55:53,J001,Silk Board,J041,Chalukya Circle,East,2,Weekend,False,Rain,True,13.4,False,Normal,34,28,33.8,51.1,2,Accepted,0.26,38.4,18.9,76.6,0.082,0.191,0.931,Light rain detected - minor speed reduction advised
JN100020,2026-03-20 09:13:01,J017,Whitefield ITPL,J031,Cubbon Road,North,3,Weekday,True,Clear,False,0.0,False,Normal,57,48,41.1,29.1,3,Counter-Offer Accepted,0.961,8.3,61.2,270.6,0.088,0.204,0.893,Festival crowd surge detected - alternate route and extended cycle recommended
JN100021,2026-03-15 19:41:13,J013,HSR BDA Complex,J011,Indiranagar 100ft Road,West,2,Weekend,False,Clear,False,0.0,False,Bus,42,38,47.0,45.5,4,Priority Granted (Bus),0.486,31.0,18.3,82.7,0.07,0.162,0.959,Bus priority granted - green extension issued to reduce transit delay
JN100022,2025-06-24 21:17:27,J003,KR Puram,J027,Mysore Road,South,4,Weekday,False,Clear,False,0.0,False,Normal,23,16,27.1,50.3,2,Accepted,0.204,27.8,16.6,102.0,0.079,0.182,0.984,Normal free-flow traffic - standard signal timing maintained
JN100023,2026-01-07 20:53:24,J016,Sarjapur Road,J014,Electronic City Toll,South,3,Weekday,False,Clear,False,0.0,False,Normal,32,25,28.3,52.9,2,Accepted,0.26,28.7,17.0,98.9,0.068,0.157,0.965,Moderate traffic flow - standard adaptive signal timing in effect
JN100024,2025-02-25 18:39:27,J035,Domlur,J005,Yeshwantpur,West,2,Weekday,False,Clear,False,0.0,False,Normal,75,67,49.2,37.4,3,Counter-Offer Accepted,0.941,9.0,61.6,341.9,0.118,0.272,0.919,Heavy congestion detected - signal timing extended and reroute suggested
JN100025,2025-09-14 09:46:21,J040,City Market,J005,Yeshwantpur,West,4,Weekend,False,Clear,False,0.0,False,Normal,31,24,27.1,33.3,2,Accepted,0.62,22.5,40.4,108.6,0.061,0.142,0.962,Moderate traffic flow - standard adaptive signal timing in effect
JN100026,2025-10-30 15:07:33,J014,Electronic City Toll,J010,Shivajinagar,North,4,Weekday,False,Clear,False,0.0,False,Normal,19,11,15.5,40.3,2,Accepted,0.121,40.8,3.6,60.4,0.053,0.122,0.98,Normal free-flow traffic - standard signal timing maintained
JN100027,2025-01-17 07:20:14,J031,Cubbon Road,J010,Shivajinagar,South,3,Weekday,False,Clear,False,0.0,False,Normal,44,39,31.4,45.6,1,Accepted,0.486,22.8,33.0,95.8,0.043,0.099,0.958,Moderate traffic flow - standard adaptive signal timing in effect
JN100028,2026-02-19 09:10:31,J006,Tin Factory,J038,Varthur,North,4,Weekday,False,Clear,False,0.0,False,Normal,49,42,39.6,32.9,4,Counter-Offer Accepted,0.932,10.3,64.8,216.5,0.094,0.217,0.936,Heavy congestion detected - signal timing extended and reroute suggested
JN100029,2026-05-03 19:14:20,J006,Tin Factory,J033,Trinity Circle,East,3,Weekend,False,Fog,False,0.0,False,Normal,40,36,25.0,38.9,2,Accepted,0.651,17.7,47.5,161.3,0.103,0.237,0.972,Moderate traffic flow - standard adaptive signal timing in effect
JN100030,2026-01-20 18:12:48,J033,Trinity Circle,J007,Banashankari,North,2,Weekday,False,Clear,False,0.0,False,Normal,69,61,45.3,35.1,3,Counter-Offer Accepted,0.938,9.3,63.6,178.5,0.085,0.196,0.938,Heavy congestion detected - signal timing extended and reroute suggested
JN100031,2025-11-09 08:50:11,J039,KR Market,J034,Ulsoor,South,3,Weekend,False,Rain,True,11.3,False,Bus,49,46,54.4,48.6,3,Priority Granted (Bus),0.849,10.9,33.0,193.9,0.083,0.193,0.904,Bus priority granted - green extension issued to reduce transit delay
JN100032,2026-06-18 16:07:51,J027,Mysore Road,J006,Tin Factory,South,2,Weekday,False,Heavy Rain,True,55.5,False,Normal,55,48,40.7,43.3,1,Accepted,0.645,18.7,44.8,133.4,0.078,0.181,0.916,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
JN100033,2025-08-01 11:19:53,J041,Chalukya Circle,J023,Basavanagudi,West,4,Weekday,False,Clear,False,0.0,False,Normal,24,16,19.3,31.3,2,Accepted,0.267,38.1,18.2,46.3,0.036,0.082,0.955,Moderate traffic flow - standard adaptive signal timing in effect
JN100034,2025-08-15 10:28:54,J010,Shivajinagar,J025,Bannerghatta Road,North,3,Weekday,True,Clear,False,0.0,False,Normal,44,38,27.1,27.3,1,Accepted,0.734,14.2,53.4,237.3,0.136,0.315,0.919,Festival crowd surge detected - alternate route and extended cycle recommended
JN100035,2025-07-13 22:49:03,J018,Nagawara,J003,KR Puram,West,3,Weekend,False,Clear,False,0.0,False,Normal,25,18,18.7,46.8,1,Accepted,0.047,31.9,2.0,84.3,0.07,0.161,0.963,Normal free-flow traffic - standard signal timing maintained
JN100036,2025-09-06 16:55:04,J009,Majestic,J021,Vijayanagar,South,3,Weekend,True,Rain,True,17.9,False,Normal,51,44,32.6,38.2,1,Accepted,0.883,12.4,56.7,211.9,0.123,0.284,0.837,Festival crowd surge detected - alternate route and extended cycle recommended
JN100037,2025-12-22 06:44:32,J004,Hebbal,J026,Hosur Road,North,4,Weekday,False,Clear,False,0.0,False,Normal,26,21,24.3,50.7,1,Accepted,0.261,35.2,14.3,72.9,0.055,0.127,0.972,Moderate traffic flow - standard adaptive signal timing in effect
JN100038,2025-09-27 13:58:17,J017,Whitefield ITPL,J036,HAL Airport Road,East,2,Weekend,False,Clear,False,0.0,False,Normal,26,19,24.1,60.6,1,Accepted,0.02,36.9,2.0,60.5,0.062,0.143,0.949,Normal free-flow traffic - standard signal timing maintained
JN100039,2025-07-09 12:06:17,J029,Old Airport Road,J030,MG Road,West,3,Weekday,False,Clear,False,0.0,False,Bus,19,11,31.8,28.5,2,Priority Granted (Bus),0.108,34.0,4.6,59.8,0.054,0.125,0.952,Bus priority granted - green extension issued to reduce transit delay
JN100040,2025-11-28 08:16:07,J001,Silk Board,J006,Tin Factory,North,4,Weekday,False,Clear,False,0.0,False,Normal,42,34,30.9,37.7,1,Accepted,0.732,17.8,44.2,157.6,0.101,0.234,0.971,Moderate traffic flow - standard adaptive signal timing in effect
JN100041,2025-10-04 09:59:49,J004,Hebbal,J009,Majestic,North,2,Weekend,False,Clear,False,0.0,False,Bus,48,44,51.0,48.8,2,Priority Granted (Bus),0.486,27.8,20.7,69.4,0.052,0.12,0.964,Bus priority granted - green extension issued to reduce transit delay
JN100042,2025-02-02 07:00:31,J009,Majestic,J003,KR Puram,North,4,Weekend,False,Clear,False,0.0,False,Bus,24,21,35.8,34.4,2,Priority Granted (Bus),0.254,33.7,12.4,26.7,0.023,0.054,0.944,Bus priority granted - green extension issued to reduce transit delay
JN100043,2025-07-22 18:35:53,J010,Shivajinagar,J031,Cubbon Road,East,4,Weekday,False,Rain,True,12.2,False,Normal,54,46,39.9,36.9,2,Accepted,0.943,10.6,59.9,219.5,0.105,0.243,0.887,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
JN100044,2025-07-10 06:10:50,J016,Sarjapur Road,J034,Ulsoor,South,4,Weekday,False,Clear,False,0.0,False,Normal,17,11,14.9,44.8,2,Accepted,0.113,33.9,9.3,65.6,0.057,0.132,0.983,Normal free-flow traffic - standard signal timing maintained
JN100045,2025-01-31 09:24:33,J033,Trinity Circle,J018,Nagawara,North,2,Weekday,False,Clear,False,0.0,False,Normal,62,57,46.3,45.9,2,Accepted,0.82,12.4,52.3,142.8,0.051,0.118,0.948,Heavy congestion detected - signal timing extended and reroute suggested
JN100046,2025-01-19 21:48:18,J007,Banashankari,J036,HAL Airport Road,South,2,Weekend,False,Clear,False,0.0,False,Normal,24,18,18.6,48.4,1,Accepted,0.089,37.1,8.1,54.4,0.051,0.118,0.974,Normal free-flow traffic - standard signal timing maintained
JN100047,2025-05-17 17:30:39,J004,Hebbal,J039,KR Market,North,2,Weekend,False,Clear,False,0.0,False,Normal,43,40,29.6,49.8,1,Accepted,0.55,28.0,32.5,118.3,0.092,0.212,0.954,Moderate traffic flow - standard adaptive signal timing in effect
JN100048,2025-05-15 09:45:15,J027,Mysore Road,J014,Electronic City Toll,South,3,Weekday,False,Clear,False,0.0,False,Normal,51,44,36.3,30.6,4,Counter-Offer Accepted,0.858,16.1,53.2,140.0,0.085,0.197,0.924,Heavy congestion detected - signal timing extended and reroute suggested
JN100049,2026-04-04 13:56:11,J033,Trinity Circle,J025,Bannerghatta Road,West,3,Weekend,False,Clear,False,0.0,False,Normal,22,13,20.7,50.5,2,Accepted,0.02,34.7,2.0,100.8,0.082,0.189,0.989,Normal free-flow traffic - standard signal timing maintained
JN100050,2026-05-03 09:18:03,J026,Hosur Road,J020,Malleshwaram Circle,South,3,Weekend,False,Clear,False,0.0,False,Bus,46,39,50.0,45.3,2,Priority Granted (Bus),0.628,16.0,26.5,172.1,0.095,0.219,0.955,Bus priority granted - green extension issued to reduce transit delay
JN100051,2026-03-22 03:52:11,J007,Banashankari,J012,Koramangala Sony World,North,2,Weekend,False,Clear,False,0.0,False,Normal,11,6,12.3,44.5,1,Accepted,0.02,31.4,2.0,67.0,0.053,0.121,0.922,Normal free-flow traffic - standard signal timing maintained
JN100052,2025-09-15 12:16:30,J037,Kadugodi,J018,Nagawara,North,4,Weekday,False,Rain,True,11.8,False,Normal,21,17,25.9,51.3,2,Accepted,0.2,35.0,10.8,65.8,0.047,0.109,0.879,Light rain detected - minor speed reduction advised
JN100053,2025-12-30 11:52:49,J005,Yeshwantpur,J029,Old Airport Road,West,3,Weekday,False,Clear,False,0.0,False,Normal,25,16,15.3,39.5,1,Accepted,0.093,35.3,5.3,47.5,0.031,0.072,0.951,Normal free-flow traffic - standard signal timing maintained
JN100054,2025-12-31 19:57:21,J024,JP Nagar,J001,Silk Board,East,2,Weekday,False,Clear,False,0.0,False,Normal,57,48,37.3,46.9,1,Accepted,0.695,20.2,45.8,112.7,0.084,0.194,0.944,Moderate traffic flow - standard adaptive signal timing in effect
JN100055,2025-09-14 07:14:17,J038,Varthur,J025,Bannerghatta Road,East,3,Weekend,False,Clear,False,0.0,False,Normal,28,24,24.3,42.5,1,Accepted,0.375,31.7,27.9,78.3,0.051,0.118,0.971,Moderate traffic flow - standard adaptive signal timing in effect
JN100056,2025-08-17 10:29:44,J036,HAL Airport Road,J007,Banashankari,South,2,Weekend,False,Clear,False,0.0,False,Normal,34,27,25.9,44.9,2,Accepted,0.311,27.1,21.7,50.8,0.024,0.056,0.973,Moderate traffic flow - standard adaptive signal timing in effect
JN100057,2026-06-13 17:10:10,J018,Nagawara,J041,Chalukya Circle,East,2,Weekend,False,Clear,False,0.0,False,Normal,38,29,30.1,47.7,1,Accepted,0.395,26.9,35.2,126.7,0.091,0.21,0.978,Moderate traffic flow - standard adaptive signal timing in effect
JN100058,2025-09-05 19:28:02,J040,City Market,J042,Anand Rao Circle,North,4,Weekday,True,Clear,False,0.0,False,Bus,48,45,57.1,52.1,2,Priority Granted (Bus),0.907,8.4,38.2,158.9,0.048,0.111,0.891,Bus priority granted - green extension issued to reduce transit delay
JN100059,2026-04-03 09:58:17,J031,Cubbon Road,J028,Tumkur Road,North,3,Weekday,False,Clear,False,0.0,False,Normal,55,48,36.6,43.0,1,Accepted,0.756,17.8,49.0,178.9,0.117,0.27,0.977,Heavy congestion detected - signal timing extended and reroute suggested
JN100060,2025-08-05 18:33:37,J030,MG Road,J011,Indiranagar 100ft Road,North,3,Weekday,False,Clear,False,0.0,False,Bus,54,50,55.0,50.3,4,Priority Granted (Bus),0.882,13.2,33.4,212.5,0.107,0.248,0.954,Bus priority granted - green extension issued to reduce transit delay
JN100061,2025-05-14 06:57:26,J016,Sarjapur Road,J022,Rajajinagar,South,4,Weekday,False,Clear,False,0.0,False,Normal,29,25,30.4,48.2,2,Accepted,0.315,35.2,21.0,45.7,0.025,0.058,0.976,Moderate traffic flow - standard adaptive signal timing in effect
JN100062,2026-04-13 11:42:17,J027,Mysore Road,J011,Indiranagar 100ft Road,South,4,Weekday,False,Clear,False,0.0,False,Bus,24,15,31.5,31.5,2,Priority Granted (Bus),0.159,29.7,4.5,78.5,0.054,0.124,0.949,Bus priority granted - green extension issued to reduce transit delay
JN100063,2025-11-06 09:09:05,J029,Old Airport Road,J001,Silk Board,West,3,Weekday,False,Clear,False,0.0,False,Bus,50,47,51.6,51.0,3,Priority Granted (Bus),0.91,10.3,31.6,172.3,0.075,0.173,0.938,Bus priority granted - green extension issued to reduce transit delay
JN100064,2025-11-14 18:59:24,J037,Kadugodi,J014,Electronic City Toll,West,4,Weekday,False,Clear,False,0.0,False,Normal,46,42,32.1,32.4,1,Accepted,0.91,12.9,57.7,179.8,0.107,0.247,0.941,Heavy congestion detected - signal timing extended and reroute suggested
JN100065,2026-06-05 10:09:06,J019,RT Nagar,J023,Basavanagudi,North,4,Weekday,False,Rain,True,17.8,False,Normal,41,38,31.0,33.2,1,Accepted,0.824,13.4,58.7,211.0,0.093,0.214,0.882,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
JN100066,2025-02-20 08:52:20,J017,Whitefield ITPL,J020,Malleshwaram Circle,West,3,Weekday,False,Clear,False,0.0,False,Normal,52,51,40.5,35.9,2,Counter-Offer Accepted,0.926,14.3,62.4,141.6,0.087,0.2,0.92,Heavy congestion detected - signal timing extended and reroute suggested
JN100067,2026-03-05 21:43:26,J023,Basavanagudi,J018,Nagawara,North,4,Weekday,True,Fog,False,0.0,False,Normal,25,23,25.8,39.9,1,Accepted,0.313,30.0,19.3,93.4,0.088,0.202,0.931,Moderate traffic flow - standard adaptive signal timing in effect
JN100068,2025-04-29 18:59:55,J032,Richmond Circle,J008,Jayanagar 4th Block,East,3,Weekday,False,Clear,False,0.0,False,Normal,54,50,42.1,34.7,2,Counter-Offer Accepted,0.944,9.5,65.0,364.6,0.164,0.379,0.894,Heavy congestion detected - signal timing extended and reroute suggested
JN100069,2025-07-21 12:29:17,J042,Anand Rao Circle,J025,Bannerghatta Road,West,2,Weekday,False,Clear,False,0.0,False,Normal,20,16,22.5,45.2,2,Accepted,0.078,40.1,2.0,46.7,0.027,0.063,0.96,Normal free-flow traffic - standard signal timing maintained
JN100070,2026-03-31 12:14:26,J031,Cubbon Road,J042,Anand Rao Circle,West,3,Weekday,False,Clear,False,0.0,False,Bus,20,17,44.8,44.3,3,Priority Granted (Bus),0.189,37.3,8.1,68.7,0.071,0.163,0.966,Bus priority granted - green extension issued to reduce transit delay
JN100071,2025-09-14 13:32:02,J010,Shivajinagar,J016,Sarjapur Road,West,3,Weekend,False,Heavy Rain,True,28.7,False,Normal,30,25,25.5,35.9,2,Accepted,0.342,24.6,18.6,97.7,0.079,0.183,0.911,Light rain detected - minor speed reduction advised
JN100072,2025-04-09 19:13:33,J011,Indiranagar 100ft Road,J024,JP Nagar,East,2,Weekday,False,Clear,False,0.0,False,Normal,66,57,43.5,36.2,3,Counter-Offer Accepted,0.867,11.7,58.3,272.8,0.134,0.308,0.931,Heavy congestion detected - signal timing extended and reroute suggested
JN100073,2025-10-10 17:21:20,J034,Ulsoor,J005,Yeshwantpur,South,2,Weekday,False,Clear,False,0.0,False,Bus,60,56,59.3,55.7,4,Priority Granted (Bus),0.757,21.8,32.3,165.3,0.118,0.273,0.982,Bus priority granted - green extension issued to reduce transit delay
JN100074,2026-02-19 13:26:04,J022,Rajajinagar,J007,Banashankari,North,4,Weekday,False,Light Rain,True,1.0,False,Normal,19,12,21.3,56.7,1,Accepted,0.097,34.4,7.9,72.0,0.054,0.126,0.928,Light rain detected - minor speed reduction advised
JN100075,2026-05-07 23:06:57,J035,Domlur,J034,Ulsoor,West,2,Weekday,False,Rain,True,10.8,False,Normal,27,26,26.6,48.8,1,Accepted,0.265,22.9,17.8,39.8,0.024,0.056,0.915,Light rain detected - minor speed reduction advised
JN100076,2025-02-19 18:31:43,J011,Indiranagar 100ft Road,J042,Anand Rao Circle,East,2,Weekday,False,Clear,False,0.0,False,Normal,67,60,47.5,46.6,2,Accepted,0.92,8.6,61.7,365.2,0.138,0.319,0.927,Heavy congestion detected - signal timing extended and reroute suggested
JN100077,2026-01-25 12:41:26,J034,Ulsoor,J041,Chalukya Circle,West,2,Weekend,False,Clear,False,0.0,False,Normal,20,17,19.2,50.6,1,Accepted,0.075,32.4,12.1,50.0,0.036,0.084,0.941,Normal free-flow traffic - standard signal timing maintained
JN100078,2026-03-06 22:01:43,J031,Cubbon Road,J029,Old Airport Road,East,4,Weekday,False,Clear,False,0.0,False,Normal,17,13,14.1,43.1,1,Accepted,0.163,33.9,12.4,99.4,0.089,0.205,0.94,Normal free-flow traffic - standard signal timing maintained
JN100079,2025-08-05 20:54:41,J008,Jayanagar 4th Block,J027,Mysore Road,North,4,Weekday,False,Clear,False,0.0,False,Normal,30,22,26.3,47.9,2,Accepted,0.276,31.1,12.4,59.1,0.051,0.119,0.953,Moderate traffic flow - standard adaptive signal timing in effect
JN100080,2025-05-04 06:17:40,J037,Kadugodi,J019,RT Nagar,North,4,Weekend,False,Clear,False,0.0,False,Normal,10,7,19.0,49.2,1,Accepted,0.051,25.3,5.8,51.0,0.023,0.053,0.982,Normal free-flow traffic - standard signal timing maintained
JN100081,2025-09-09 08:11:22,J038,Varthur,J027,Mysore Road,South,3,Weekday,False,Rain,True,9.7,False,Bus,47,42,50.9,47.9,2,Priority Granted (Bus),0.917,10.8,35.7,209.5,0.093,0.214,0.859,Bus priority granted - green extension issued to reduce transit delay
JN100082,2025-04-06 19:18:48,J036,HAL Airport Road,J011,Indiranagar 100ft Road,North,4,Weekend,True,Clear,False,0.0,False,Normal,45,38,37.0,38.5,1,Accepted,0.79,17.3,50.0,159.3,0.109,0.252,0.925,Festival crowd surge detected - alternate route and extended cycle recommended
JN100083,2025-02-20 14:54:19,J038,Varthur,J028,Tumkur Road,West,4,Weekday,False,Fog,False,0.0,False,Normal,23,15,29.1,51.4,1,Accepted,0.123,31.8,2.1,80.5,0.072,0.167,0.99,Normal free-flow traffic - standard signal timing maintained
JN100084,2025-05-19 18:20:15,J020,Malleshwaram Circle,J013,HSR BDA Complex,West,2,Weekday,False,Rain,True,11.5,False,Normal,82,69,52.6,44.9,4,Counter-Offer Accepted,0.924,10.4,62.6,298.1,0.147,0.34,0.906,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
JN100085,2025-09-26 11:14:52,J010,Shivajinagar,J011,Indiranagar 100ft Road,South,2,Weekday,False,Clear,False,0.0,False,Normal,39,33,30.8,51.9,2,Accepted,0.351,28.6,28.0,103.5,0.067,0.154,0.976,Moderate traffic flow - standard adaptive signal timing in effect
JN100086,2025-12-18 10:21:54,J034,Ulsoor,J036,HAL Airport Road,North,2,Weekday,False,Clear,False,0.0,False,Normal,52,45,34.4,46.6,1,Accepted,0.574,24.1,38.8,121.1,0.085,0.196,0.979,Moderate traffic flow - standard adaptive signal timing in effect
JN100087,2025-05-05 18:32:01,J013,HSR BDA Complex,J009,Majestic,South,3,Weekday,False,Clear,False,0.0,False,Bus,61,49,59.2,55.8,4,Priority Granted (Bus),0.857,15.4,35.1,139.7,0.08,0.185,0.943,Bus priority granted - green extension issued to reduce transit delay
JN100088,2025-06-01 09:54:00,J033,Trinity Circle,J032,Richmond Circle,East,2,Weekend,False,Clear,False,0.0,False,Bus,36,31,40.9,38.5,3,Priority Granted (Bus),0.465,28.8,17.9,72.8,0.055,0.127,0.95,Bus priority granted - green extension issued to reduce transit delay
JN100089,2025-02-20 09:05:58,J008,Jayanagar 4th Block,J030,MG Road,North,2,Weekday,False,Clear,False,0.0,False,Bus,68,60,58.5,56.0,3,Priority Granted (Bus),0.898,13.4,32.4,145.1,0.066,0.151,0.925,Bus priority granted - green extension issued to reduce transit delay
JN100090,2025-09-25 21:20:07,J019,RT Nagar,J012,Koramangala Sony World,North,2,Weekday,False,Heavy Rain,True,52.3,False,Bus,48,42,47.3,44.1,4,Priority Granted (Bus),0.626,23.2,26.8,96.7,0.08,0.185,0.918,Bus priority granted - green extension issued to reduce transit delay
JN100091,2025-02-19 13:27:59,J031,Cubbon Road,J007,Banashankari,West,3,Weekday,False,Clear,False,0.0,False,Bus,24,18,38.0,37.7,4,Priority Granted (Bus),0.212,26.9,7.2,93.9,0.03,0.07,0.952,Bus priority granted - green extension issued to reduce transit delay
JN100092,2025-06-20 20:31:55,J041,Chalukya Circle,J015,Bellandur,West,4,Weekday,False,Clear,False,0.0,False,Normal,34,27,23.8,41.8,1,Accepted,0.516,20.4,33.9,121.1,0.079,0.183,0.989,Moderate traffic flow - standard adaptive signal timing in effect
JN100093,2025-04-28 09:37:44,J018,Nagawara,J039,KR Market,North,2,Weekday,False,Clear,False,0.0,False,Bus,59,52,63.1,55.9,3,Priority Granted (Bus),0.803,13.5,33.3,274.1,0.12,0.277,0.967,Bus priority granted - green extension issued to reduce transit delay
JN100094,2025-01-02 21:51:01,J024,JP Nagar,J011,Indiranagar 100ft Road,West,2,Weekday,False,Clear,False,0.0,False,Normal,31,23,23.2,52.5,1,Accepted,0.112,43.3,4.6,66.4,0.074,0.172,0.967,Normal free-flow traffic - standard signal timing maintained
JN100095,2026-01-17 07:13:46,J014,Electronic City Toll,J002,Marathahalli,East,4,Weekend,False,Clear,False,0.0,False,Ambulance,36,22,57.6,62.6,1,Preempted (Ambulance),0.232,31.0,1.8,73.8,0.049,0.113,0.98,Ambulance priority active - all conflicting signals preempted for corridor clearance
JN100096,2025-01-15 10:29:04,J002,Marathahalli,J003,KR Puram,West,2,Weekday,True,Clear,False,0.0,False,Bus,50,48,53.0,47.0,3,Priority Granted (Bus),0.72,16.7,28.6,206.7,0.121,0.28,0.926,Bus priority granted - green extension issued to reduce transit delay
