trip_id,timestamp,origin_junction_id,origin_junction_name,destination_junction_id,destination_junction_name,vehicle_type,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident_on_route,bus_priority_active,ambulance_priority_active,distance_km,alternate_route_available,recommended_route,recommended_speed_kmph,congestion_index,predicted_waiting_time_sec,predicted_travel_time_sec,estimated_time_saved_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
TRIP200035,2025-12-23 08:19:38,J025,Bannerghatta Road,J036,HAL Airport Road,Car,Weekday,False,Clear,False,0.0,False,True,False,3.45,False,Primary Route,20.0,0.707,47.9,659.4,0.0,0.433,1.0,0.967,Bus priority granted - green extension issued to reduce transit delay
TRIP200036,2025-12-09 16:41:30,J010,Shivajinagar,J001,Silk Board,Car,Weekday,False,Clear,False,0.0,False,False,False,6.68,True,Alternate Route,30.7,0.405,26.3,863.6,162.7,0.693,1.601,0.96,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200037,2025-07-21 13:18:55,J026,Hosur Road,J031,Cubbon Road,Two-Wheeler,Weekday,False,Clear,False,0.0,False,True,False,5.29,True,Primary Route,43.0,0.14,11.1,451.8,0.0,0.207,0.478,0.966,Bus priority granted - green extension issued to reduce transit delay
TRIP200038,2026-05-06 08:06:30,J012,Koramangala Sony World,J036,HAL Airport Road,Car,Weekday,False,Clear,False,0.0,False,False,False,5.72,False,Primary Route,13.0,0.863,53.8,1507.5,0.0,0.772,1.783,0.953,Heavy congestion detected - signal timing extended and reroute suggested
TRIP200039,2026-03-20 19:36:24,J005,Yeshwantpur,J012,Koramangala Sony World,Car,Weekday,True,Clear,False,0.0,False,True,False,3.41,True,Alternate Route,27.1,0.508,32.4,508.8,255.2,0.39,0.901,0.924,Bus priority granted - green extension issued to reduce transit delay
TRIP200040,2026-02-09 08:41:08,J016,Sarjapur Road,J030,MG Road,Two-Wheeler,Weekday,False,Clear,False,0.0,False,True,False,3.35,True,Alternate Route,25.3,0.469,28.7,483.7,223.9,0.155,0.358,0.99,Bus priority granted - green extension issued to reduce transit delay
TRIP200041,2025-09-07 01:22:22,J009,Majestic,J025,Bannerghatta Road,Two-Wheeler,Weekend,False,Clear,False,0.0,False,False,False,5.87,True,Primary Route,40.3,0.138,16.5,582.5,0.0,0.239,0.552,0.99,Normal free-flow traffic - standard signal timing maintained
TRIP200042,2025-07-30 08:27:55,J008,Jayanagar 4th Block,J006,Tin Factory,Auto-Rickshaw,Weekday,False,Clear,False,0.0,False,False,False,1.82,False,Primary Route,9.4,0.932,56.1,695.3,0.0,0.187,0.432,0.946,Heavy congestion detected - signal timing extended and reroute suggested
TRIP200043,2025-08-16 13:37:47,J035,Domlur,J021,Vijayanagar,Two-Wheeler,Weekend,True,Heavy Rain,True,25.8,False,False,False,1.95,True,Alternate Route,29.1,0.482,31.3,280.6,211.7,0.095,0.219,0.854,Light rain detected - minor speed reduction advised
TRIP200044,2025-10-06 17:46:26,J011,Indiranagar 100ft Road,J017,Whitefield ITPL,Bus,Weekday,False,Clear,False,0.0,False,True,False,5.66,True,Alternate Route,25.3,0.434,33.5,888.6,228.0,2.091,4.83,0.964,Bus priority granted - green extension issued to reduce transit delay
TRIP200045,2026-06-16 09:45:51,J018,Nagawara,J003,KR Puram,Auto-Rickshaw,Weekday,False,Heavy Rain,True,28.2,False,False,False,3.13,True,Alternate Route,22.8,0.602,38.8,534.7,161.5,0.273,0.631,0.898,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
TRIP200046,2025-05-10 10:47:23,J040,City Market,J003,KR Puram,Two-Wheeler,Weekend,False,Rain,True,9.7,False,False,False,3.11,False,Primary Route,26.7,0.506,32.4,459.6,0.0,0.15,0.346,0.909,Light rain detected - minor speed reduction advised
TRIP200047,2025-09-24 20:20:19,J021,Vijayanagar,J014,Electronic City Toll,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,6.04,True,Alternate Route,33.6,0.384,20.3,624.1,188.6,0.268,0.619,0.944,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200048,2025-09-25 06:06:14,J015,Bellandur,J034,Ulsoor,Bus,Weekday,False,Clear,False,0.0,False,False,False,5.4,True,Primary Route,26.2,0.235,13.4,763.8,0.0,1.768,4.084,0.968,Normal free-flow traffic - standard signal timing maintained
TRIP200049,2025-08-10 15:25:08,J031,Cubbon Road,J039,KR Market,Car,Weekend,False,Heavy Rain,True,40.6,False,False,False,3.73,False,Primary Route,26.9,0.539,31.9,513.2,0.0,0.43,0.993,0.926,Light rain detected - minor speed reduction advised
TRIP200050,2025-09-06 08:30:59,J011,Indiranagar 100ft Road,J007,Banashankari,Auto-Rickshaw,Weekend,True,Light Rain,True,6.3,False,True,False,2.95,True,Alternate Route,23.5,0.452,29.4,455.2,262.4,0.226,0.522,0.858,Bus priority granted - green extension issued to reduce transit delay
TRIP200051,2026-03-23 07:15:36,J019,RT Nagar,J038,Varthur,Car,Weekday,False,Clear,False,0.0,False,False,False,8.52,True,Primary Route,32.0,0.491,39.6,976.0,0.0,0.974,2.25,0.955,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200052,2026-03-25 04:17:33,J023,Basavanagudi,J024,JP Nagar,Car,Weekday,False,Clear,False,0.0,False,False,False,10.4,True,Primary Route,35.0,0.12,11.1,1103.6,0.0,0.953,2.201,0.964,Normal free-flow traffic - standard signal timing maintained
TRIP200053,2025-10-10 09:45:51,J022,Rajajinagar,J001,Silk Board,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,2.04,True,Alternate Route,23.6,0.638,44.3,351.4,25.0,0.113,0.261,0.973,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200054,2025-09-17 20:45:20,J020,Malleshwaram Circle,J028,Tumkur Road,Car,Weekday,False,Clear,False,0.0,False,False,False,6.27,True,Alternate Route,25.4,0.367,21.2,924.9,60.0,0.659,1.522,0.99,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200055,2026-06-02 20:49:29,J018,Nagawara,J011,Indiranagar 100ft Road,Car,Weekday,False,Rain,True,9.6,False,False,False,4.04,False,Primary Route,25.8,0.582,38.7,648.6,0.0,0.477,1.102,0.922,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
TRIP200056,2025-07-21 14:11:58,J013,HSR BDA Complex,J024,JP Nagar,Car,Weekday,False,Clear,False,0.0,False,True,False,5.96,False,Primary Route,44.2,0.121,12.0,494.8,0.0,0.548,1.266,0.971,Bus priority granted - green extension issued to reduce transit delay
TRIP200057,2026-05-22 11:49:39,J023,Basavanagudi,J021,Vijayanagar,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,8.36,True,Primary Route,35.5,0.265,19.0,904.8,0.0,0.356,0.822,0.969,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200058,2025-12-28 09:17:22,J033,Trinity Circle,J034,Ulsoor,Auto-Rickshaw,Weekend,False,Clear,False,0.0,False,False,False,3.27,True,Alternate Route,26.8,0.427,28.8,452.7,209.1,0.242,0.559,0.963,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200059,2025-02-17 10:50:09,J031,Cubbon Road,J016,Sarjapur Road,Car,Weekday,False,Clear,False,0.0,False,False,False,5.88,True,Primary Route,29.5,0.485,32.5,738.9,0.0,0.65,1.502,0.965,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200060,2025-02-28 08:16:58,J035,Domlur,J036,HAL Airport Road,Bus,Weekday,False,Clear,False,0.0,False,True,False,7.56,False,Primary Route,17.4,0.659,42.7,1646.3,0.0,3.114,7.193,0.985,Bus priority granted - green extension issued to reduce transit delay
TRIP200061,2026-03-02 22:34:58,J033,Trinity Circle,J012,Koramangala Sony World,Car,Weekday,False,Clear,False,0.0,False,False,False,2.25,False,Primary Route,34.5,0.172,7.0,244.4,0.0,0.205,0.474,0.978,Normal free-flow traffic - standard signal timing maintained
TRIP200062,2026-03-26 20:25:47,J011,Indiranagar 100ft Road,J009,Majestic,Car,Weekday,True,Clear,False,0.0,False,True,False,5.72,False,Primary Route,19.8,0.672,47.0,1126.1,0.0,0.701,1.619,0.919,Bus priority granted - green extension issued to reduce transit delay
TRIP200063,2026-05-09 17:19:26,J016,Sarjapur Road,J028,Tumkur Road,Two-Wheeler,Weekend,False,Clear,False,0.0,False,True,False,2.92,False,Primary Route,32.4,0.472,35.2,379.6,0.0,0.141,0.326,0.954,Bus priority granted - green extension issued to reduce transit delay
TRIP200064,2025-09-05 09:51:18,J031,Cubbon Road,J006,Tin Factory,Bus,Weekday,True,Clear,False,0.0,False,True,False,5.42,True,Alternate Route,20.2,0.587,43.8,1031.8,180.7,2.227,5.144,0.957,Bus priority granted - green extension issued to reduce transit delay
TRIP200065,2025-08-24 07:30:59,J034,Ulsoor,J037,Kadugodi,Car,Weekend,False,Rain,True,17.2,False,False,False,6.44,True,Alternate Route,28.6,0.43,26.9,895.6,134.8,0.702,1.622,0.931,Light rain detected - minor speed reduction advised
TRIP200066,2025-04-20 09:13:37,J022,Rajajinagar,J010,Shivajinagar,Two-Wheeler,Weekend,False,Clear,False,0.0,False,False,False,2.65,True,Alternate Route,24.6,0.438,22.0,406.9,100.6,0.128,0.296,0.942,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200067,2026-02-12 07:35:40,J037,Kadugodi,J009,Majestic,Auto-Rickshaw,Weekday,False,Clear,False,0.0,False,True,False,6.4,False,Primary Route,23.5,0.449,32.3,994.5,0.0,0.48,1.109,0.984,Bus priority granted - green extension issued to reduce transit delay
TRIP200068,2026-03-14 14:13:49,J015,Bellandur,J037,Kadugodi,Car,Weekend,False,Clear,False,0.0,False,False,False,12.19,True,Primary Route,38.0,0.166,2.0,1131.4,0.0,1.149,2.654,0.967,Normal free-flow traffic - standard signal timing maintained
TRIP200069,2026-01-06 16:32:15,J001,Silk Board,J035,Domlur,Auto-Rickshaw,Weekday,False,Clear,False,0.0,False,False,False,7.19,False,Primary Route,27.3,0.512,39.9,1027.9,0.0,0.541,1.25,0.982,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200070,2025-04-04 07:09:46,J011,Indiranagar 100ft Road,J020,Malleshwaram Circle,Car,Weekday,False,Clear,False,0.0,False,False,False,4.23,False,Primary Route,33.3,0.399,26.3,478.5,0.0,0.473,1.093,0.951,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200071,2026-02-04 19:09:06,J012,Koramangala Sony World,J015,Bellandur,Two-Wheeler,Weekday,False,Clear,False,0.0,False,True,False,6.93,False,Primary Route,23.1,0.739,50.8,1105.6,0.0,0.366,0.845,0.966,Bus priority granted - green extension issued to reduce transit delay
TRIP200072,2025-07-05 15:00:39,J010,Shivajinagar,J004,Hebbal,Car,Weekend,False,Clear,False,0.0,True,False,False,6.03,True,Primary Route,27.5,0.543,31.4,783.3,0.0,0.69,1.594,0.804,Accident detected nearby - reroute and reduced speed advised
TRIP200073,2025-07-08 18:38:29,J021,Vijayanagar,J024,JP Nagar,Car,Weekday,False,Rain,True,23.0,False,True,False,6.57,True,Alternate Route,29.1,0.484,31.6,859.0,219.8,0.722,1.668,0.951,Bus priority granted - green extension issued to reduce transit delay
TRIP200074,2025-05-01 23:22:49,J022,Rajajinagar,J037,Kadugodi,Two-Wheeler,Weekday,True,Clear,False,0.0,False,False,False,5.91,False,Primary Route,30.3,0.35,21.1,710.9,0.0,0.261,0.603,0.934,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200075,2025-10-23 16:16:15,J029,Old Airport Road,J035,Domlur,Auto-Rickshaw,Weekday,False,Clear,False,0.0,False,False,False,1.97,True,Primary Route,21.4,0.522,30.2,355.1,0.0,0.161,0.372,0.969,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200076,2026-05-17 18:24:22,J035,Domlur,J010,Shivajinagar,Two-Wheeler,Weekend,False,Rain,True,12.8,False,True,False,14.61,True,Alternate Route,29.5,0.461,30.9,1810.8,154.2,0.668,1.543,0.905,Bus priority granted - green extension issued to reduce transit delay
TRIP200077,2026-02-10 10:17:20,J028,Tumkur Road,J012,Koramangala Sony World,Car,Weekday,False,Clear,False,0.0,False,True,False,6.08,False,Primary Route,22.3,0.582,42.2,928.9,0.0,0.706,1.631,0.975,Bus priority granted - green extension issued to reduce transit delay
TRIP200078,2025-12-23 08:49:55,J042,Anand Rao Circle,J029,Old Airport Road,Delivery Van,Weekday,False,Clear,False,0.0,False,True,False,6.19,True,Alternate Route,23.8,0.474,28.0,919.7,118.6,1.077,2.488,0.97,Bus priority granted - green extension issued to reduce transit delay
TRIP200079,2025-08-23 15:26:24,J009,Majestic,J036,HAL Airport Road,Car,Weekend,False,Heavy Rain,True,41.4,False,False,False,2.78,False,Primary Route,24.5,0.571,41.3,426.3,0.0,0.34,0.785,0.916,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
TRIP200080,2025-11-19 13:57:12,J018,Nagawara,J001,Silk Board,Car,Weekday,False,Clear,False,0.0,False,False,False,2.81,False,Primary Route,39.1,0.238,16.3,263.7,0.0,0.261,0.603,0.988,Normal free-flow traffic - standard signal timing maintained
TRIP200081,2025-01-31 09:11:45,J040,City Market,J026,Hosur Road,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,5.53,False,Primary Route,8.5,1.0,62.6,2526.6,0.0,0.328,0.758,0.896,Heavy congestion detected - signal timing extended and reroute suggested
TRIP200082,2025-10-27 05:09:56,J028,Tumkur Road,J032,Richmond Circle,Car,Weekday,False,Fog,False,0.0,False,True,False,2.88,True,Primary Route,34.3,0.187,10.2,305.8,0.0,0.281,0.649,0.95,Bus priority granted - green extension issued to reduce transit delay
TRIP200083,2025-02-18 07:25:30,J027,Mysore Road,J013,HSR BDA Complex,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,1.72,True,Alternate Route,33.8,0.375,26.0,204.4,6.6,0.079,0.182,0.984,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200084,2026-04-13 09:55:01,J039,KR Market,J042,Anand Rao Circle,Car,Weekday,False,Clear,False,0.0,False,True,False,2.96,True,Alternate Route,33.6,0.398,27.0,352.3,186.6,0.345,0.797,0.98,Bus priority granted - green extension issued to reduce transit delay
TRIP200085,2026-01-02 18:20:35,J008,Jayanagar 4th Block,J006,Tin Factory,Two-Wheeler,Weekday,True,Clear,False,0.0,False,False,False,12.27,False,Primary Route,10.0,1.0,60.8,4620.4,0.0,0.718,1.659,0.864,Festival crowd surge detected - alternate route and extended cycle recommended
TRIP200086,2025-01-31 09:56:00,J031,Cubbon Road,J035,Domlur,Car,Weekday,False,Clear,False,0.0,False,False,False,8.0,False,Primary Route,18.8,0.734,44.9,1642.8,0.0,0.996,2.301,0.96,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200087,2026-06-29 07:16:05,J018,Nagawara,J005,Yeshwantpur,Car,Weekday,False,Rain,True,17.9,False,False,False,7.23,True,Alternate Route,23.9,0.504,31.5,1138.4,227.9,0.802,1.853,0.924,Light rain detected - minor speed reduction advised
TRIP200088,2025-07-09 17:01:13,J036,HAL Airport Road,J013,HSR BDA Complex,Car,Weekday,False,Heavy Rain,True,32.6,False,False,False,7.57,True,Alternate Route,22.2,0.602,38.7,1247.9,128.1,0.903,2.086,0.919,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
TRIP200089,2025-04-14 12:40:46,J011,Indiranagar 100ft Road,J021,Vijayanagar,Car,Weekday,True,Rain,True,12.4,False,True,False,1.04,True,Alternate Route,37.7,0.311,18.3,115.4,148.9,0.106,0.245,0.844,Bus priority granted - green extension issued to reduce transit delay
TRIP200090,2025-07-26 15:17:01,J038,Varthur,J030,MG Road,Two-Wheeler,Weekend,False,Heavy Rain,True,40.8,False,False,False,2.38,True,Primary Route,28.3,0.529,41.0,344.3,0.0,0.121,0.28,0.903,Light rain detected - minor speed reduction advised
TRIP200091,2026-04-21 23:04:41,J029,Old Airport Road,J011,Indiranagar 100ft Road,Two-Wheeler,Weekday,False,Clear,False,0.0,False,True,False,3.3,False,Primary Route,48.8,0.124,6.7,243.3,0.0,0.123,0.284,0.965,Bus priority granted - green extension issued to reduce transit delay
TRIP200092,2025-04-02 18:40:40,J026,Hosur Road,J015,Bellandur,Bus,Weekday,False,Clear,False,0.0,False,True,False,2.52,True,Alternate Route,23.6,0.497,36.6,400.2,67.0,1.006,2.324,0.956,Bus priority granted - green extension issued to reduce transit delay
TRIP200093,2025-05-25 17:11:22,J011,Indiranagar 100ft Road,J015,Bellandur,Auto-Rickshaw,Weekend,False,Clear,False,0.0,False,True,False,14.36,False,Primary Route,23.0,0.465,30.6,2189.6,0.0,1.073,2.479,0.966,Bus priority granted - green extension issued to reduce transit delay
TRIP200094,2026-06-16 08:21:31,J022,Rajajinagar,J004,Hebbal,Two-Wheeler,Weekday,False,Clear,False,0.0,False,False,False,3.69,True,Alternate Route,25.4,0.579,37.7,525.1,279.7,0.186,0.43,0.962,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200095,2026-02-22 17:03:14,J010,Shivajinagar,J008,Jayanagar 4th Block,Two-Wheeler,Weekend,False,Clear,False,0.0,False,False,False,3.88,True,Primary Route,30.9,0.546,35.2,479.3,0.0,0.189,0.437,0.976,Moderate traffic flow - standard adaptive signal timing in effect
TRIP200096,2025-10-02 22:04:51,J021,Vijayanagar,J020,Malleshwaram Circle,Car,Weekday,True,Rain,True,11.4,False,False,False,3.11,False,Primary Route,23.7,0.562,32.2,470.4,0.0,0.373,0.862,0.91,Festival crowd surge detected - alternate route and extended cycle recommended
TRIP200097,2026-03-29 22:08:32,J034,Ulsoor,J013,HSR BDA Complex,Car,Weekend,False,Fog,False,0.0,False,False,False,7.0,False,Primary Route,44.5,0.152,9.7,618.7,0.0,0.649,1.499,0.977,Normal free-flow traffic - standard signal timing maintained
