record_id,timestamp,junction_id,junction_name,day_type,is_festival,weather_condition,is_rain,rainfall_mm,temperature_c,visibility_m,is_accident,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
WX500020,2026-06-14 00:42:59,J038,Varthur,Weekend,False,Rain,True,13.9,17.1,342.0,False,0.443,10.1,29.8,257.6,0.092,0.213,0.908,Light rain detected - minor speed reduction advised
WX500021,2025-10-04 12:42:57,J027,Mysore Road,Weekend,False,Clear,False,0.0,26.2,2817.0,False,0.155,33.6,4.6,106.6,0.116,0.268,0.957,Normal free-flow traffic - standard signal timing maintained
WX500022,2026-06-16 22:42:14,J031,Cubbon Road,Weekday,False,Clear,False,0.0,22.2,2391.0,False,0.22,35.5,15.8,97.6,0.073,0.169,0.972,Normal free-flow traffic - standard signal timing maintained
WX500023,2025-06-08 16:27:26,J033,Trinity Circle,Weekend,False,Heavy Rain,True,65.1,23.5,167.0,False,0.965,7.8,59.2,275.7,0.12,0.277,0.866,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500024,2026-03-03 14:56:57,J041,Chalukya Circle,Weekday,False,Clear,False,0.0,31.2,2254.0,False,0.193,44.2,12.7,83.0,0.087,0.201,0.99,Normal free-flow traffic - standard signal timing maintained
WX500025,2025-03-27 15:21:22,J036,HAL Airport Road,Weekday,False,Clear,False,0.0,32.6,2160.0,False,0.299,28.2,11.3,107.9,0.077,0.178,0.971,Moderate traffic flow - standard adaptive signal timing in effect
WX500026,2025-08-15 15:11:49,J018,Nagawara,Weekday,True,Clear,False,0.0,28.3,2292.0,False,0.428,29.7,29.1,110.7,0.097,0.224,0.89,Moderate traffic flow - standard adaptive signal timing in effect
WX500027,2025-07-22 18:48:11,J023,Basavanagudi,Weekday,False,Clear,False,0.0,26.7,1181.0,False,0.979,8.1,66.7,472.5,0.157,0.363,0.928,Heavy congestion detected - signal timing extended and reroute suggested
WX500028,2026-01-14 11:52:13,J041,Chalukya Circle,Weekday,True,Clear,False,0.0,22.8,2439.0,False,0.405,29.7,27.6,109.6,0.092,0.213,0.91,Moderate traffic flow - standard adaptive signal timing in effect
WX500029,2025-04-14 15:40:49,J002,Marathahalli,Weekday,True,Rain,True,18.0,29.6,529.0,False,0.936,10.0,64.6,436.6,0.19,0.439,0.842,Festival crowd surge detected - alternate route and extended cycle recommended
WX500030,2025-05-06 16:54:58,J002,Marathahalli,Weekday,False,Clear,False,0.0,32.3,2136.0,False,0.716,17.7,46.9,226.0,0.134,0.31,0.99,Moderate traffic flow - standard adaptive signal timing in effect
WX500031,2025-06-06 13:39:15,J001,Silk Board,Weekday,False,Rain,True,7.5,23.5,521.0,False,0.396,10.1,22.3,377.3,0.124,0.286,0.938,Light rain detected - minor speed reduction advised
WX500032,2026-02-08 20:36:44,J012,Koramangala Sony World,Weekend,False,Clear,False,0.0,23.5,2759.0,False,0.368,32.9,24.3,78.9,0.053,0.122,0.957,Moderate traffic flow - standard adaptive signal timing in effect
WX500033,2026-05-10 09:55:01,J022,Rajajinagar,Weekend,False,Heavy Rain,True,26.3,26.0,257.0,False,1.0,9.9,67.9,354.0,0.153,0.353,0.856,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500034,2025-09-20 20:09:41,J005,Yeshwantpur,Weekend,False,Clear,False,0.0,25.1,1826.0,False,0.364,25.9,29.2,117.7,0.1,0.231,0.95,Moderate traffic flow - standard adaptive signal timing in effect
WX500035,2026-04-16 12:03:12,J006,Tin Factory,Weekday,False,Clear,False,0.0,29.6,2696.0,False,0.186,31.5,7.2,74.1,0.061,0.141,0.976,Normal free-flow traffic - standard signal timing maintained
WX500036,2025-12-16 19:43:32,J018,Nagawara,Weekday,False,Clear,False,0.0,20.9,1846.0,False,0.787,19.0,51.8,214.5,0.132,0.305,0.946,Heavy congestion detected - signal timing extended and reroute suggested
WX500037,2025-10-29 21:46:50,J030,MG Road,Weekday,False,Clear,False,0.0,23.1,1422.0,False,0.287,25.9,15.1,76.3,0.031,0.072,0.943,Moderate traffic flow - standard adaptive signal timing in effect
WX500038,2025-06-17 06:37:06,J003,KR Puram,Weekday,False,Rain,True,17.3,19.0,727.0,False,0.685,15.4,47.7,314.3,0.172,0.397,0.926,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500039,2025-09-12 16:51:36,J031,Cubbon Road,Weekday,False,Rain,True,19.2,26.1,206.0,False,0.974,10.0,68.5,458.1,0.207,0.478,0.871,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500040,2025-11-04 08:23:48,J041,Chalukya Circle,Weekday,False,Clear,False,0.0,19.7,2415.0,False,0.913,13.9,61.3,261.5,0.12,0.277,0.899,Heavy congestion detected - signal timing extended and reroute suggested
WX500041,2025-08-23 22:53:42,J029,Old Airport Road,Weekend,False,Clear,False,0.0,22.3,1975.0,False,0.072,30.9,4.7,130.8,0.096,0.222,0.967,Normal free-flow traffic - standard signal timing maintained
WX500042,2026-01-10 08:48:06,J031,Cubbon Road,Weekend,False,Clear,False,0.0,21.1,2908.0,False,0.71,19.8,43.3,142.5,0.081,0.187,0.955,Moderate traffic flow - standard adaptive signal timing in effect
WX500043,2026-04-15 18:17:10,J006,Tin Factory,Weekday,True,Clear,False,0.0,31.2,2217.0,False,1.0,6.7,73.7,453.0,0.143,0.33,0.88,Festival crowd surge detected - alternate route and extended cycle recommended
WX500044,2026-05-15 17:19:54,J030,MG Road,Weekday,False,Clear,False,0.0,32.3,2322.0,False,0.865,12.4,59.0,344.6,0.144,0.333,0.955,Heavy congestion detected - signal timing extended and reroute suggested
WX500045,2025-04-02 16:16:46,J041,Chalukya Circle,Weekday,False,Clear,False,0.0,32.9,2742.0,False,0.502,29.8,32.3,104.1,0.094,0.217,0.961,Moderate traffic flow - standard adaptive signal timing in effect
WX500046,2026-05-06 18:21:18,J040,City Market,Weekday,False,Clear,False,0.0,28.9,1603.0,False,0.931,10.2,57.8,337.9,0.151,0.349,0.909,Heavy congestion detected - signal timing extended and reroute suggested
WX500047,2025-03-28 18:42:31,J019,RT Nagar,Weekday,False,Clear,False,0.0,30.0,2424.0,False,0.95,12.0,61.1,360.9,0.167,0.386,0.928,Heavy congestion detected - signal timing extended and reroute suggested
WX500048,2025-02-25 17:59:35,J021,Vijayanagar,Weekday,False,Clear,False,0.0,27.2,1482.0,False,1.0,8.8,58.7,278.2,0.095,0.219,0.906,Heavy congestion detected - signal timing extended and reroute suggested
WX500049,2026-05-13 11:26:44,J026,Hosur Road,Weekday,False,Clear,False,0.0,28.6,3000.0,False,0.291,31.7,24.2,54.8,0.056,0.129,0.971,Moderate traffic flow - standard adaptive signal timing in effect
WX500050,2025-02-01 04:50:45,J019,RT Nagar,Weekend,False,Clear,False,0.0,19.5,2820.0,False,0.207,34.1,16.4,108.2,0.082,0.189,0.99,Normal free-flow traffic - standard signal timing maintained
WX500051,2025-02-20 14:16:01,J010,Shivajinagar,Weekday,False,Clear,False,0.0,27.6,2810.0,False,0.211,39.0,12.2,68.7,0.068,0.157,0.958,Normal free-flow traffic - standard signal timing maintained
WX500052,2026-05-18 10:59:08,J014,Electronic City Toll,Weekday,False,Rain,True,19.6,24.1,314.0,False,0.784,11.3,55.3,407.9,0.195,0.45,0.897,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500053,2025-04-20 23:56:29,J009,Majestic,Weekend,False,Clear,False,0.0,24.5,2088.0,False,0.129,38.9,5.6,79.5,0.069,0.159,0.973,Normal free-flow traffic - standard signal timing maintained
WX500054,2026-05-29 13:32:05,J022,Rajajinagar,Weekday,False,Clear,False,0.0,30.9,3000.0,False,0.218,35.1,10.0,99.3,0.074,0.171,0.972,Normal free-flow traffic - standard signal timing maintained
WX500055,2025-01-17 11:02:29,J001,Silk Board,Weekday,False,Clear,False,0.0,24.5,2182.0,False,0.35,36.9,27.0,77.5,0.059,0.136,0.962,Moderate traffic flow - standard adaptive signal timing in effect
WX500056,2025-04-06 07:00:37,J040,City Market,Weekend,True,Clear,False,0.0,26.9,2000.0,False,0.475,28.4,27.5,127.9,0.103,0.238,0.907,Moderate traffic flow - standard adaptive signal timing in effect
WX500057,2025-03-12 00:34:16,J036,HAL Airport Road,Weekday,False,Fog,False,0.0,24.0,199.0,False,0.246,9.3,17.5,358.6,0.095,0.219,0.91,Fog reducing visibility - reduced speed and headlight advisory issued
WX500058,2026-03-26 22:15:40,J007,Banashankari,Weekday,True,Fog,False,0.0,27.1,62.0,False,0.493,10.0,30.4,273.8,0.109,0.252,0.879,Moderate traffic flow - standard adaptive signal timing in effect
WX500059,2025-04-08 20:17:41,J031,Cubbon Road,Weekday,False,Clear,False,0.0,28.4,2426.0,False,0.568,26.0,40.1,154.9,0.122,0.282,0.949,Moderate traffic flow - standard adaptive signal timing in effect
WX500060,2025-11-06 10:55:50,J002,Marathahalli,Weekday,False,Clear,False,0.0,23.8,1901.0,False,0.378,28.2,23.8,46.0,0.043,0.099,0.975,Moderate traffic flow - standard adaptive signal timing in effect
WX500061,2025-07-25 13:12:22,J003,KR Puram,Weekday,False,Rain,True,8.2,23.2,449.0,False,0.314,8.8,13.1,305.4,0.075,0.173,0.895,Light rain detected - minor speed reduction advised
WX500062,2025-10-21 08:54:41,J025,Bannerghatta Road,Weekday,True,Clear,False,0.0,24.6,1698.0,False,1.0,8.8,62.0,463.5,0.188,0.434,0.882,Festival crowd surge detected - alternate route and extended cycle recommended
WX500063,2025-03-22 07:56:38,J042,Anand Rao Circle,Weekend,False,Clear,False,0.0,24.9,2430.0,False,0.49,21.5,29.1,139.8,0.084,0.194,0.974,Moderate traffic flow - standard adaptive signal timing in effect
WX500064,2025-10-28 19:13:40,J001,Silk Board,Weekday,False,Clear,False,0.0,27.0,2733.0,False,0.981,11.5,63.4,328.0,0.154,0.356,0.909,Heavy congestion detected - signal timing extended and reroute suggested
WX500065,2025-02-08 18:36:05,J009,Majestic,Weekend,False,Clear,False,0.0,26.8,2035.0,False,0.751,17.3,54.1,180.1,0.114,0.263,0.966,Heavy congestion detected - signal timing extended and reroute suggested
WX500066,2025-12-10 19:30:28,J014,Electronic City Toll,Weekday,False,Clear,False,0.0,23.4,2466.0,False,0.872,15.6,56.5,273.9,0.149,0.344,0.941,Heavy congestion detected - signal timing extended and reroute suggested
WX500067,2025-03-02 15:48:12,J034,Ulsoor,Weekend,False,Clear,False,0.0,32.7,2685.0,False,0.293,28.0,17.8,192.2,0.156,0.36,0.962,Moderate traffic flow - standard adaptive signal timing in effect
WX500068,2025-12-07 08:12:15,J006,Tin Factory,Weekend,False,Clear,False,0.0,21.2,2235.0,False,0.625,21.3,41.4,174.0,0.121,0.28,0.971,Moderate traffic flow - standard adaptive signal timing in effect
WX500069,2026-05-31 10:32:02,J015,Bellandur,Weekend,False,Clear,False,0.0,28.4,2410.0,False,0.364,26.9,22.9,181.1,0.137,0.316,0.968,Moderate traffic flow - standard adaptive signal timing in effect
WX500070,2026-01-26 20:12:19,J042,Anand Rao Circle,Weekday,True,Clear,False,0.0,21.5,1836.0,False,0.87,14.0,59.4,188.1,0.1,0.231,0.915,Festival crowd surge detected - alternate route and extended cycle recommended
WX500071,2025-12-01 19:30:29,J004,Hebbal,Weekday,False,Clear,False,0.0,25.5,2305.0,False,0.894,13.3,60.6,124.2,0.048,0.111,0.943,Heavy congestion detected - signal timing extended and reroute suggested
WX500072,2026-03-24 08:39:51,J024,JP Nagar,Weekday,False,Clear,False,0.0,25.3,2128.0,False,1.0,9.4,65.6,378.1,0.157,0.363,0.93,Heavy congestion detected - signal timing extended and reroute suggested
WX500073,2025-04-24 17:15:21,J019,RT Nagar,Weekday,False,Clear,False,0.0,32.9,2324.0,False,0.718,13.5,45.1,282.6,0.155,0.358,0.968,Moderate traffic flow - standard adaptive signal timing in effect
WX500074,2025-01-04 15:01:04,J023,Basavanagudi,Weekend,False,Clear,False,0.0,25.6,2952.0,False,0.191,40.0,18.1,135.1,0.14,0.323,0.971,Normal free-flow traffic - standard signal timing maintained
WX500075,2025-11-19 19:10:45,J023,Basavanagudi,Weekday,False,Clear,False,0.0,23.6,2429.0,False,0.933,13.2,65.7,255.6,0.113,0.261,0.942,Heavy congestion detected - signal timing extended and reroute suggested
WX500076,2025-03-25 19:34:27,J021,Vijayanagar,Weekday,False,Clear,False,0.0,28.0,1787.0,False,0.86,16.0,55.4,152.1,0.109,0.252,0.97,Heavy congestion detected - signal timing extended and reroute suggested
WX500077,2026-04-18 05:23:53,J027,Mysore Road,Weekend,False,Clear,False,0.0,24.8,1088.0,False,0.209,20.9,12.8,152.7,0.075,0.173,0.969,Normal free-flow traffic - standard signal timing maintained
WX500078,2026-05-04 22:56:54,J005,Yeshwantpur,Weekday,False,Light Rain,True,2.4,22.9,378.0,False,0.241,9.6,23.6,200.2,0.052,0.12,0.92,Light rain detected - minor speed reduction advised
WX500079,2025-10-21 10:46:13,J035,Domlur,Weekday,True,Rain,True,8.9,22.4,472.0,False,0.942,8.4,65.2,272.6,0.095,0.219,0.803,Festival crowd surge detected - alternate route and extended cycle recommended
WX500080,2025-07-16 17:22:18,J016,Sarjapur Road,Weekday,False,Heavy Rain,True,27.4,24.4,191.0,False,1.0,9.7,67.9,257.1,0.118,0.273,0.861,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500081,2025-08-19 18:01:44,J025,Bannerghatta Road,Weekday,False,Clear,False,0.0,26.0,1955.0,False,1.0,10.0,69.7,408.2,0.177,0.409,0.908,Heavy congestion detected - signal timing extended and reroute suggested
WX500082,2026-01-21 12:29:54,J005,Yeshwantpur,Weekday,False,Clear,False,0.0,24.7,1866.0,False,0.1,28.9,9.7,74.4,0.051,0.118,0.969,Normal free-flow traffic - standard signal timing maintained
WX500083,2026-01-13 09:32:20,J017,Whitefield ITPL,Weekday,False,Clear,False,0.0,21.4,1686.0,False,0.923,11.1,62.1,233.8,0.114,0.263,0.923,Heavy congestion detected - signal timing extended and reroute suggested
WX500084,2025-10-27 10:10:10,J009,Majestic,Weekday,False,Clear,False,0.0,23.6,2340.0,False,0.804,19.2,55.0,220.1,0.15,0.346,0.96,Heavy congestion detected - signal timing extended and reroute suggested
WX500085,2025-02-07 15:42:56,J040,City Market,Weekday,False,Clear,False,0.0,27.7,2323.0,False,0.291,32.8,17.8,91.5,0.074,0.171,0.986,Moderate traffic flow - standard adaptive signal timing in effect
WX500086,2025-01-14 18:37:44,J015,Bellandur,Weekday,True,Clear,False,0.0,22.9,1423.0,False,1.0,8.9,68.3,607.4,0.204,0.471,0.868,Festival crowd surge detected - alternate route and extended cycle recommended
WX500087,2026-02-02 09:56:46,J028,Tumkur Road,Weekday,False,Clear,False,0.0,21.5,2510.0,False,0.844,15.0,58.7,168.7,0.104,0.24,0.962,Heavy congestion detected - signal timing extended and reroute suggested
WX500088,2025-05-14 18:05:32,J038,Varthur,Weekday,False,Clear,False,0.0,30.2,1233.0,False,1.0,7.5,63.6,402.9,0.121,0.28,0.906,Heavy congestion detected - signal timing extended and reroute suggested
WX500089,2025-01-11 08:05:00,J025,Bannerghatta Road,Weekend,False,Clear,False,0.0,21.1,2414.0,False,0.682,19.0,42.1,225.9,0.149,0.344,0.98,Moderate traffic flow - standard adaptive signal timing in effect
WX500090,2025-12-28 09:06:06,J007,Banashankari,Weekend,False,Clear,False,0.0,19.9,2397.0,False,0.788,18.7,55.0,214.0,0.12,0.277,0.927,Heavy congestion detected - signal timing extended and reroute suggested
WX500091,2026-06-20 14:21:17,J008,Jayanagar 4th Block,Weekend,False,Rain,True,12.4,25.6,462.0,False,0.454,9.2,20.2,287.2,0.082,0.189,0.901,Light rain detected - minor speed reduction advised
WX500092,2025-08-08 18:16:42,J027,Mysore Road,Weekday,False,Rain,True,9.3,24.9,549.0,False,1.0,10.0,68.3,268.1,0.116,0.268,0.844,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500093,2025-03-27 16:26:03,J010,Shivajinagar,Weekday,False,Clear,False,0.0,30.7,2517.0,False,0.565,27.7,40.7,129.7,0.098,0.226,0.965,Moderate traffic flow - standard adaptive signal timing in effect
WX500094,2025-01-12 14:52:25,J026,Hosur Road,Weekend,False,Clear,False,0.0,25.6,2377.0,False,0.111,34.9,13.2,47.1,0.04,0.092,0.954,Normal free-flow traffic - standard signal timing maintained
WX500095,2025-10-02 10:58:44,J035,Domlur,Weekday,True,Clear,False,0.0,25.4,2165.0,False,0.595,23.6,34.6,146.9,0.108,0.249,0.903,Festival crowd surge detected - alternate route and extended cycle recommended
WX500096,2026-06-15 01:07:41,J020,Malleshwaram Circle,Weekday,False,Rain,True,15.0,16.9,490.0,False,0.491,10.1,32.2,118.9,0.042,0.097,0.93,Light rain detected - minor speed reduction advised
WX500097,2026-03-25 10:50:40,J035,Domlur,Weekday,False,Clear,False,0.0,28.8,2962.0,False,0.544,29.0,34.5,127.7,0.095,0.219,0.951,Moderate traffic flow - standard adaptive signal timing in effect
WX500098,2025-08-08 11:38:20,J018,Nagawara,Weekday,False,Heavy Rain,True,38.1,20.8,215.0,False,0.859,10.8,50.9,455.0,0.213,0.492,0.895,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500099,2025-03-28 17:08:28,J012,Koramangala Sony World,Weekday,False,Clear,False,0.0,30.3,2290.0,False,0.685,20.8,41.4,261.3,0.171,0.395,0.927,Moderate traffic flow - standard adaptive signal timing in effect
WX500100,2025-04-30 08:04:49,J008,Jayanagar 4th Block,Weekday,False,Clear,False,0.0,26.4,2366.0,False,0.754,16.5,51.8,243.0,0.123,0.284,0.99,Heavy congestion detected - signal timing extended and reroute suggested
WX500101,2026-04-15 08:16:55,J033,Trinity Circle,Weekday,True,Clear,False,0.0,25.8,2128.0,False,1.0,8.3,66.7,415.3,0.144,0.333,0.866,Festival crowd surge detected - alternate route and extended cycle recommended
WX500102,2026-02-14 09:49:30,J036,HAL Airport Road,Weekend,False,Clear,False,0.0,22.1,2358.0,False,0.566,27.7,37.5,158.9,0.137,0.316,0.964,Moderate traffic flow - standard adaptive signal timing in effect
WX500103,2025-06-24 20:58:45,J029,Old Airport Road,Weekday,False,Clear,False,0.0,25.3,2230.0,False,0.484,27.7,26.4,73.9,0.068,0.157,0.973,Moderate traffic flow - standard adaptive signal timing in effect
WX500104,2026-05-25 14:28:19,J026,Hosur Road,Weekday,False,Rain,True,13.2,28.5,423.0,False,0.527,9.4,29.6,353.4,0.113,0.261,0.904,Light rain detected - minor speed reduction advised
WX500105,2026-03-16 04:20:18,J042,Anand Rao Circle,Weekday,False,Clear,False,0.0,23.0,2616.0,False,0.111,35.0,2.0,61.3,0.044,0.102,0.966,Normal free-flow traffic - standard signal timing maintained
WX500106,2025-07-06 15:23:15,J041,Chalukya Circle,Weekend,False,Heavy Rain,True,52.1,23.5,71.0,False,0.799,13.8,55.6,314.0,0.17,0.393,0.893,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500107,2025-12-06 19:57:20,J038,Varthur,Weekend,False,Clear,False,0.0,23.2,2111.0,False,0.529,24.9,32.0,120.0,0.095,0.219,0.953,Moderate traffic flow - standard adaptive signal timing in effect
WX500108,2026-02-26 15:35:59,J018,Nagawara,Weekday,False,Clear,False,0.0,26.4,2352.0,False,0.39,28.9,25.9,50.5,0.023,0.053,0.953,Moderate traffic flow - standard adaptive signal timing in effect
WX500109,2025-05-29 15:50:19,J035,Domlur,Weekday,False,Light Rain,True,6.0,29.6,502.0,False,0.462,10.7,29.6,415.9,0.164,0.379,0.917,Light rain detected - minor speed reduction advised
WX500110,2025-12-18 08:32:15,J007,Banashankari,Weekday,False,Clear,False,0.0,19.2,1936.0,False,0.825,18.7,57.9,150.0,0.091,0.21,0.929,Heavy congestion detected - signal timing extended and reroute suggested
WX500111,2025-07-15 16:33:30,J037,Kadugodi,Weekday,False,Clear,False,0.0,27.8,2552.0,False,0.488,21.7,33.9,157.0,0.118,0.273,0.961,Moderate traffic flow - standard adaptive signal timing in effect
WX500112,2026-01-21 17:31:02,J028,Tumkur Road,Weekday,False,Clear,False,0.0,25.7,1959.0,False,0.929,14.3,64.6,196.1,0.105,0.243,0.919,Heavy congestion detected - signal timing extended and reroute suggested
WX500113,2026-03-26 18:21:59,J013,HSR BDA Complex,Weekday,True,Clear,False,0.0,28.4,1872.0,False,1.0,9.5,65.2,340.8,0.144,0.333,0.873,Festival crowd surge detected - alternate route and extended cycle recommended
WX500114,2025-07-28 05:26:39,J027,Mysore Road,Weekday,False,Clear,False,0.0,21.1,1918.0,False,0.089,30.9,2.0,33.3,0.033,0.076,0.976,Normal free-flow traffic - standard signal timing maintained
WX500115,2026-01-05 19:41:48,J005,Yeshwantpur,Weekday,False,Clear,False,0.0,22.9,1560.0,False,0.776,13.7,55.5,379.3,0.178,0.411,0.935,Heavy congestion detected - signal timing extended and reroute suggested
WX500116,2025-04-13 12:55:45,J001,Silk Board,Weekend,False,Fog,False,0.0,30.8,105.0,False,0.273,7.6,13.5,308.3,0.052,0.12,0.929,Moderate traffic flow - standard adaptive signal timing in effect
WX500117,2026-04-12 17:40:38,J017,Whitefield ITPL,Weekend,False,Clear,False,0.0,32.0,2399.0,False,0.623,21.7,39.4,141.9,0.102,0.236,0.927,Moderate traffic flow - standard adaptive signal timing in effect
WX500118,2025-11-07 09:24:01,J001,Silk Board,Weekday,False,Clear,False,0.0,21.8,2487.0,False,0.914,9.7,56.8,557.0,0.204,0.471,0.921,Heavy congestion detected - signal timing extended and reroute suggested
WX500119,2025-05-02 13:46:19,J007,Banashankari,Weekday,True,Clear,False,0.0,30.7,2078.0,False,0.424,29.7,28.0,135.3,0.1,0.231,0.889,Moderate traffic flow - standard adaptive signal timing in effect
WX500120,2026-05-19 17:49:42,J021,Vijayanagar,Weekday,False,Light Rain,True,3.1,27.0,442.0,False,1.0,9.4,65.7,197.2,0.068,0.157,0.845,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500121,2025-06-13 08:48:16,J020,Malleshwaram Circle,Weekday,False,Heavy Rain,True,36.1,21.4,265.0,False,1.0,8.6,64.8,461.6,0.18,0.416,0.865,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500122,2025-11-18 17:37:57,J008,Jayanagar 4th Block,Weekday,False,Light Rain,True,6.5,22.7,288.0,False,1.0,8.3,62.8,445.4,0.182,0.42,0.867,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
WX500123,2026-05-18 17:02:15,J017,Whitefield ITPL,Weekday,False,Clear,False,0.0,31.3,2708.0,False,0.745,16.1,50.5,299.1,0.142,0.328,0.963,Moderate traffic flow - standard adaptive signal timing in effect
WX500124,2025-12-11 13:20:23,J030,MG Road,Weekday,False,Clear,False,0.0,26.2,2611.0,False,0.15,40.2,13.1,113.0,0.114,0.263,0.97,Normal free-flow traffic - standard signal timing maintained
WX500125,2025-11-13 16:47:37,J009,Majestic,Weekday,False,Light Rain,True,3.5,24.1,685.0,False,0.836,13.4,58.4,303.1,0.126,0.291,0.924,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
