record_id,timestamp,source_junction_id,source_junction_name,affected_junction_id,affected_junction_name,network_hop_distance,distance_m,trigger_type,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident_at_source,propagation_delay_sec,congestion_increase_pct,speed_reduction_pct,affected_congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,recovered_within_5min,confidence_score,recommendation_reason
RE100011,2025-08-28 08:22:37,J039,KR Market,J041,Chalukya Circle,2,1537,Festival Surge,Weekday,True,Clear,False,0.0,False,154.6,31.7,23.9,1.0,6.7,62.7,456.9,0.142,0.327,False,0.848,Festival crowd surge detected - alternate route and extended cycle recommended
RE100012,2025-06-11 12:14:52,J008,Jayanagar 4th Block,J009,Majestic,1,653,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,60.3,17.5,11.4,0.299,27.9,19.6,176.3,0.135,0.313,True,0.966,Green wave coordination successful - maintain current corridor offset
RE100013,2025-11-04 10:49:03,J025,Bannerghatta Road,J028,Tumkur Road,3,2003,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,185.0,11.2,9.0,0.479,29.8,29.0,200.2,0.179,0.414,True,0.959,Moderate traffic flow - standard adaptive signal timing in effect
RE100014,2025-08-31 20:10:25,J042,Anand Rao Circle,J003,KR Puram,3,1199,Recurrent Congestion,Weekend,False,Heavy Rain,True,25.3,False,121.3,33.9,19.9,0.979,10.7,66.1,549.9,0.229,0.529,False,0.858,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100015,2026-04-02 01:49:15,J006,Tin Factory,J010,Shivajinagar,2,1470,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,147.2,10.3,7.2,0.288,36.0,27.3,103.4,0.08,0.185,True,0.99,Green wave coordination successful - maintain current corridor offset
RE100016,2026-05-25 16:04:46,J027,Mysore Road,J030,MG Road,3,1857,Signal Fault,Weekday,False,Light Rain,True,6.1,False,191.2,24.8,20.4,0.714,19.7,51.2,298.8,0.188,0.435,True,0.834,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100017,2025-04-26 15:18:21,J031,Cubbon Road,J037,Kadugodi,3,1826,Signal Fault,Weekend,False,Clear,False,0.0,False,163.1,15.3,9.3,0.353,25.8,24.0,224.7,0.159,0.367,True,0.943,Green wave coordination successful - maintain current corridor offset
RE100018,2026-05-19 18:06:17,J002,Marathahalli,J004,Hebbal,2,1291,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,112.8,39.7,33.7,1.0,8.1,61.3,604.4,0.204,0.472,False,0.908,Heavy congestion detected - signal timing extended and reroute suggested
RE100019,2026-05-14 16:19:30,J010,Shivajinagar,J013,HSR BDA Complex,3,1664,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,137.4,20.9,14.2,0.617,21.7,34.5,183.8,0.118,0.272,True,0.97,Moderate traffic flow - standard adaptive signal timing in effect
RE100020,2026-04-11 18:08:21,J012,Koramangala Sony World,J014,Electronic City Toll,1,590,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,41.3,56.6,39.8,1.0,8.2,57.8,387.9,0.141,0.325,False,0.932,Heavy congestion detected - signal timing extended and reroute suggested
RE100021,2025-06-21 14:52:20,J005,Yeshwantpur,J011,Indiranagar 100ft Road,3,2509,Recurrent Congestion,Weekend,False,Heavy Rain,True,27.8,False,240.3,11.2,8.4,0.533,25.3,40.2,192.6,0.157,0.363,True,0.884,Light rain detected - minor speed reduction advised
RE100022,2025-05-25 13:12:28,J039,KR Market,J003,KR Puram,3,1227,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,112.1,2.8,1.8,0.185,34.6,9.7,117.4,0.113,0.262,True,0.958,Green wave coordination successful - maintain current corridor offset
RE100023,2026-03-01 09:08:48,J017,Whitefield ITPL,J019,RT Nagar,1,1045,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,100.3,44.5,37.1,1.0,9.2,64.1,541.3,0.213,0.491,False,0.901,Heavy congestion detected - signal timing extended and reroute suggested
RE100024,2025-12-24 16:00:30,J014,Electronic City Toll,J017,Whitefield ITPL,3,1325,Recurrent Congestion,Weekday,False,Fog,False,0.0,False,145.5,26.0,16.0,0.609,27.8,46.5,84.8,0.071,0.164,False,0.964,Moderate traffic flow - standard adaptive signal timing in effect
RE100025,2025-10-13 07:02:18,J029,Old Airport Road,J030,MG Road,1,249,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,20.0,54.9,39.8,0.835,14.1,57.4,284.1,0.142,0.328,False,0.956,Heavy congestion detected - signal timing extended and reroute suggested
RE100026,2026-05-12 16:54:28,J021,Vijayanagar,J022,Rajajinagar,1,573,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,69.2,63.8,37.1,1.0,9.2,65.0,386.7,0.159,0.367,False,0.924,Heavy congestion detected - signal timing extended and reroute suggested
RE100027,2025-07-10 18:40:52,J005,Yeshwantpur,J006,Tin Factory,1,550,Recurrent Congestion,Weekday,False,Light Rain,True,6.7,False,62.6,71.4,39.8,1.0,7.4,65.6,647.9,0.197,0.454,False,0.858,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100028,2025-08-20 11:25:17,J002,Marathahalli,J008,Jayanagar 4th Block,3,2202,Signal Fault,Weekday,False,Light Rain,True,5.6,False,182.4,18.1,15.3,0.515,25.5,29.4,192.8,0.14,0.324,True,0.874,Light rain detected - minor speed reduction advised
RE100029,2025-10-31 06:42:04,J021,Vijayanagar,J024,JP Nagar,3,2212,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,205.1,7.6,5.9,0.42,30.0,25.4,176.6,0.154,0.356,True,0.974,Moderate traffic flow - standard adaptive signal timing in effect
RE100030,2025-09-03 19:20:56,J012,Koramangala Sony World,J014,Electronic City Toll,1,1207,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,108.4,44.2,31.3,1.0,7.9,66.8,471.0,0.171,0.395,False,0.9,Heavy congestion detected - signal timing extended and reroute suggested
RE100031,2025-09-22 15:21:31,J034,Ulsoor,J036,HAL Airport Road,1,436,Recurrent Congestion,Weekday,False,Heavy Rain,True,27.7,False,62.0,46.4,32.5,0.844,14.8,59.4,256.5,0.147,0.34,False,0.886,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100032,2026-01-01 20:10:54,J019,RT Nagar,J023,Basavanagudi,2,1166,Recurrent Congestion,Weekday,True,Clear,False,0.0,False,97.0,50.1,29.4,1.0,8.2,66.7,715.3,0.239,0.551,False,0.866,Festival crowd surge detected - alternate route and extended cycle recommended
RE100033,2025-03-25 21:44:22,J023,Basavanagudi,J026,Hosur Road,3,2412,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,227.9,7.8,5.5,0.374,28.6,24.0,140.8,0.117,0.271,True,0.988,Green wave coordination successful - maintain current corridor offset
RE100034,2025-03-16 13:48:03,J011,Indiranagar 100ft Road,J012,Koramangala Sony World,1,524,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,51.1,15.0,9.5,0.257,35.3,20.4,111.7,0.091,0.21,True,0.96,Green wave coordination successful - maintain current corridor offset
RE100035,2025-09-01 17:11:18,J028,Tumkur Road,J031,Cubbon Road,3,1770,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,165.1,32.1,25.6,0.96,7.9,61.8,220.4,0.086,0.198,False,0.92,Heavy congestion detected - signal timing extended and reroute suggested
RE100036,2025-09-28 16:15:52,J024,JP Nagar,J030,MG Road,3,1419,Recurrent Congestion,Weekend,False,Light Rain,True,5.4,False,131.7,22.5,18.4,0.601,25.0,35.7,137.9,0.097,0.224,True,0.902,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100037,2026-05-21 19:03:05,J003,KR Puram,J006,Tin Factory,3,1908,Signal Fault,Weekday,False,Clear,False,0.0,False,183.6,23.6,19.5,1.0,9.3,62.3,391.4,0.139,0.322,True,0.86,Heavy congestion detected - signal timing extended and reroute suggested
RE100038,2025-01-15 17:42:12,J021,Vijayanagar,J025,Bannerghatta Road,2,1364,Recurrent Congestion,Weekday,True,Clear,False,0.0,False,141.9,41.4,24.3,1.0,10.7,63.4,312.9,0.143,0.331,False,0.852,Festival crowd surge detected - alternate route and extended cycle recommended
RE100039,2025-12-25 13:19:54,J002,Marathahalli,J005,Yeshwantpur,3,1704,Festival Surge,Weekday,True,Clear,False,0.0,False,141.6,20.0,14.1,0.534,26.2,35.5,153.8,0.117,0.271,True,0.923,Festival crowd surge detected - alternate route and extended cycle recommended
RE100040,2026-06-10 18:44:31,J027,Mysore Road,J029,Old Airport Road,1,740,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,83.5,56.5,45.6,1.0,10.0,60.4,530.3,0.216,0.499,False,0.931,Heavy congestion detected - signal timing extended and reroute suggested
RE100041,2025-03-07 18:09:45,J019,RT Nagar,J021,Vijayanagar,2,1032,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,76.0,51.8,42.4,1.0,8.6,66.9,451.0,0.139,0.322,False,0.906,Heavy congestion detected - signal timing extended and reroute suggested
RE100042,2025-09-09 14:16:34,J040,City Market,J042,Anand Rao Circle,2,1315,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,137.7,14.5,11.8,0.298,29.6,21.1,112.3,0.097,0.225,True,0.967,Green wave coordination successful - maintain current corridor offset
RE100043,2026-01-18 11:40:24,J025,Bannerghatta Road,J026,Hosur Road,1,853,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,79.0,24.0,15.1,0.325,32.3,19.5,178.1,0.159,0.368,True,0.962,Green wave coordination successful - maintain current corridor offset
RE100044,2025-04-24 08:13:18,J017,Whitefield ITPL,J020,Malleshwaram Circle,3,1476,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,118.7,37.6,21.8,1.0,10.6,65.8,190.8,0.095,0.219,False,0.916,Heavy congestion detected - signal timing extended and reroute suggested
RE100045,2026-01-17 06:56:12,J020,Malleshwaram Circle,J022,Rajajinagar,2,1288,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,131.0,17.4,9.9,0.418,30.0,22.9,154.1,0.126,0.291,True,0.978,Moderate traffic flow - standard adaptive signal timing in effect
RE100046,2025-09-19 20:29:44,J039,KR Market,J041,Chalukya Circle,2,1029,Recurrent Congestion,Weekday,False,Heavy Rain,True,51.3,False,77.2,48.0,35.7,1.0,7.8,66.1,648.3,0.213,0.492,False,0.849,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100047,2025-09-27 12:00:01,J009,Majestic,J012,Koramangala Sony World,3,1848,Recurrent Congestion,Weekend,False,Light Rain,True,7.2,False,178.9,14.2,9.2,0.367,30.3,23.9,147.5,0.105,0.243,True,0.901,Light rain detected - minor speed reduction advised
RE100048,2026-01-21 09:45:13,J006,Tin Factory,J010,Shivajinagar,2,1158,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,124.7,42.1,30.5,1.0,9.8,63.1,437.8,0.163,0.377,False,0.909,Heavy congestion detected - signal timing extended and reroute suggested
RE100049,2025-01-17 09:53:34,J023,Basavanagudi,J029,Old Airport Road,3,1368,Recurrent Congestion,Weekday,False,Fog,False,0.0,False,97.1,35.5,23.8,1.0,8.1,60.4,376.6,0.133,0.307,False,0.92,Heavy congestion detected - signal timing extended and reroute suggested
RE100050,2026-02-03 17:48:02,J010,Shivajinagar,J012,Koramangala Sony World,1,800,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,66.3,62.0,38.4,1.0,9.0,68.2,464.7,0.173,0.399,False,0.89,Heavy congestion detected - signal timing extended and reroute suggested
RE100051,2025-10-30 12:39:15,J010,Shivajinagar,J012,Koramangala Sony World,1,409,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,27.7,25.0,18.0,0.384,24.9,23.1,200.2,0.131,0.303,False,0.965,Moderate traffic flow - standard adaptive signal timing in effect
RE100052,2025-09-24 06:22:29,J010,Shivajinagar,J011,Indiranagar 100ft Road,1,687,Recurrent Congestion,Weekday,False,Heavy Rain,True,79.5,False,64.0,54.3,39.4,0.916,13.4,54.9,314.9,0.16,0.369,False,0.87,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100053,2025-06-03 13:08:36,J040,City Market,J002,Marathahalli,2,952,Recurrent Congestion,Weekday,False,Light Rain,True,2.8,False,85.0,31.6,22.2,0.382,29.0,26.0,133.6,0.099,0.23,False,0.932,Light rain detected - minor speed reduction advised
RE100054,2025-04-15 07:31:51,J027,Mysore Road,J030,MG Road,3,2013,Festival Surge,Weekday,True,Clear,False,0.0,False,157.0,25.0,19.5,0.968,10.5,60.7,371.3,0.17,0.392,False,0.874,Festival crowd surge detected - alternate route and extended cycle recommended
RE100055,2025-10-23 07:12:59,J039,KR Market,J041,Chalukya Circle,2,1200,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,99.0,30.6,24.0,0.66,19.2,42.0,283.4,0.177,0.409,False,0.953,Moderate traffic flow - standard adaptive signal timing in effect
RE100056,2026-03-16 12:09:34,J038,Varthur,J042,Anand Rao Circle,2,1354,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,136.1,11.0,6.4,0.262,20.5,17.2,132.0,0.087,0.202,True,0.964,Green wave coordination successful - maintain current corridor offset
RE100057,2025-07-27 12:00:23,J001,Silk Board,J004,Hebbal,3,1634,Recurrent Congestion,Weekend,False,Heavy Rain,True,37.2,False,155.5,25.4,20.3,0.683,23.6,44.9,220.3,0.144,0.332,False,0.898,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100058,2025-02-28 11:22:17,J009,Majestic,J011,Indiranagar 100ft Road,2,1321,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,125.3,24.1,19.6,0.415,26.7,25.8,121.1,0.111,0.255,True,0.955,Moderate traffic flow - standard adaptive signal timing in effect
RE100059,2025-08-08 18:34:01,J037,Kadugodi,J038,Varthur,1,655,Recurrent Congestion,Weekday,False,Rain,True,14.8,False,60.0,59.7,39.6,1.0,9.2,71.4,341.5,0.16,0.37,False,0.855,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100060,2025-04-14 16:09:43,J014,Electronic City Toll,J020,Malleshwaram Circle,3,3056,Festival Surge,Weekday,True,Clear,False,0.0,False,269.9,9.1,6.5,0.638,21.5,39.3,269.6,0.173,0.399,True,0.896,Festival crowd surge detected - alternate route and extended cycle recommended
RE100061,2026-05-26 15:16:12,J033,Trinity Circle,J035,Domlur,1,298,Signal Fault,Weekday,False,Rain,True,7.5,False,22.0,53.2,43.3,0.745,16.4,45.1,285.7,0.155,0.357,False,0.87,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100062,2025-04-10 08:45:52,J010,Shivajinagar,J012,Koramangala Sony World,1,771,Recurrent Congestion,Weekday,False,Light Rain,True,6.2,False,73.8,61.1,43.0,1.0,8.2,69.2,418.2,0.155,0.359,False,0.865,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100063,2026-05-30 06:14:59,J007,Banashankari,J011,Indiranagar 100ft Road,2,1024,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,95.6,16.2,10.6,0.208,26.3,12.5,41.0,0.041,0.095,True,0.956,Green wave coordination successful - maintain current corridor offset
RE100064,2025-01-09 17:22:23,J018,Nagawara,J019,RT Nagar,1,810,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,53.5,53.0,42.5,1.0,6.3,63.4,383.6,0.11,0.253,False,0.887,Heavy congestion detected - signal timing extended and reroute suggested
RE100065,2025-04-04 13:14:13,J009,Majestic,J015,Bellandur,3,1918,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,168.1,6.9,4.5,0.167,36.0,10.2,152.9,0.138,0.32,True,0.978,Green wave coordination successful - maintain current corridor offset
RE100066,2025-09-23 18:06:13,J024,JP Nagar,J028,Tumkur Road,2,1219,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,123.3,40.4,33.9,1.0,9.0,62.2,474.4,0.187,0.432,False,0.916,Heavy congestion detected - signal timing extended and reroute suggested
RE100067,2025-05-15 17:02:01,J008,Jayanagar 4th Block,J010,Shivajinagar,1,897,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,81.6,54.4,38.2,1.0,9.2,64.4,491.1,0.173,0.4,False,0.919,Heavy congestion detected - signal timing extended and reroute suggested
RE100068,2025-03-27 17:46:42,J014,Electronic City Toll,J016,Sarjapur Road,2,1474,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,114.5,28.8,22.2,1.0,7.9,60.7,641.2,0.216,0.5,False,0.917,Heavy congestion detected - signal timing extended and reroute suggested
RE100069,2026-06-21 11:18:43,J011,Indiranagar 100ft Road,J013,HSR BDA Complex,1,682,Recurrent Congestion,Weekend,False,Heavy Rain,True,85.8,False,52.4,56.1,43.7,0.989,8.3,65.9,404.8,0.13,0.301,False,0.859,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100070,2025-06-23 13:34:28,J031,Cubbon Road,J037,Kadugodi,3,1261,Recurrent Congestion,Weekday,False,Rain,True,17.0,False,113.3,17.5,14.0,0.447,27.7,24.3,170.6,0.132,0.306,True,0.899,Light rain detected - minor speed reduction advised
RE100071,2025-10-31 22:24:03,J029,Old Airport Road,J031,Cubbon Road,1,593,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,57.9,23.5,18.2,0.382,24.8,25.3,105.0,0.078,0.18,True,0.983,Green wave coordination successful - maintain current corridor offset
RE100072,2026-04-12 17:58:19,J006,Tin Factory,J007,Banashankari,1,916,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,96.3,49.9,37.7,0.99,10.3,63.1,276.1,0.122,0.283,False,0.919,Heavy congestion detected - signal timing extended and reroute suggested
RE100073,2026-01-10 09:58:25,J011,Indiranagar 100ft Road,J014,Electronic City Toll,3,1736,Signal Fault,Weekend,False,Clear,False,0.0,False,160.0,26.6,22.3,0.657,22.2,41.9,75.0,0.061,0.14,False,0.894,Signal fault detected upstream - temporary manual/adaptive override recommended
RE100074,2026-05-13 10:13:40,J038,Varthur,J040,City Market,2,1355,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,115.5,32.3,22.5,0.9,11.6,59.5,352.0,0.14,0.324,False,0.951,Heavy congestion detected - signal timing extended and reroute suggested
RE100075,2025-11-17 18:48:11,J009,Majestic,J011,Indiranagar 100ft Road,1,584,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,40.2,70.3,45.8,1.0,9.5,59.6,450.1,0.184,0.424,False,0.878,Heavy congestion detected - signal timing extended and reroute suggested
RE100076,2025-10-14 16:35:17,J022,Rajajinagar,J025,Bannerghatta Road,3,1722,Recurrent Congestion,Weekday,False,Rain,True,12.3,False,147.2,32.8,21.0,0.883,14.1,55.6,343.5,0.187,0.431,False,0.877,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
RE100077,2025-03-08 12:27:11,J029,Old Airport Road,J035,Domlur,3,1563,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,152.2,2.0,1.2,0.2,31.5,15.2,195.7,0.153,0.353,True,0.944,Green wave coordination successful - maintain current corridor offset
RE100078,2025-09-03 16:18:14,J021,Vijayanagar,J025,Bannerghatta Road,2,888,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,93.1,29.2,20.2,0.668,22.1,48.1,185.2,0.125,0.288,False,0.961,Moderate traffic flow - standard adaptive signal timing in effect
RE100079,2025-10-29 17:09:34,J028,Tumkur Road,J029,Old Airport Road,1,760,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,67.4,60.7,46.7,1.0,8.9,66.1,493.5,0.182,0.419,False,0.899,Heavy congestion detected - signal timing extended and reroute suggested
RE100080,2026-04-16 10:44:55,J019,RT Nagar,J021,Vijayanagar,1,526,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,47.3,49.3,30.4,0.741,16.6,41.7,99.9,0.059,0.136,False,0.93,Moderate traffic flow - standard adaptive signal timing in effect
RE100081,2025-01-24 08:06:21,J027,Mysore Road,J030,MG Road,3,596,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,54.2,68.5,41.6,1.0,8.9,58.3,352.2,0.146,0.336,False,0.903,Heavy congestion detected - signal timing extended and reroute suggested
RE100082,2026-05-24 12:13:44,J033,Trinity Circle,J037,Kadugodi,2,1569,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,131.4,11.8,9.1,0.222,31.8,17.7,112.9,0.099,0.229,True,0.986,Green wave coordination successful - maintain current corridor offset
RE100083,2025-01-01 09:46:47,J041,Chalukya Circle,J002,Marathahalli,3,2112,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,186.1,22.6,13.4,1.0,8.1,67.4,632.1,0.202,0.466,True,0.905,Heavy congestion detected - signal timing extended and reroute suggested
RE100084,2025-02-23 09:59:07,J026,Hosur Road,J032,Richmond Circle,3,1878,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,171.1,12.7,8.9,0.641,22.0,43.3,195.7,0.149,0.344,True,0.971,Moderate traffic flow - standard adaptive signal timing in effect
RE100085,2025-01-11 13:53:15,J004,Hebbal,J006,Tin Factory,1,816,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,78.6,14.6,8.7,0.226,34.6,11.9,63.1,0.059,0.136,True,0.923,Green wave coordination successful - maintain current corridor offset
RE100086,2025-04-16 16:29:19,J003,KR Puram,J005,Yeshwantpur,1,639,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,67.8,46.2,38.4,0.824,16.2,55.1,257.3,0.152,0.352,False,0.946,Heavy congestion detected - signal timing extended and reroute suggested
RE100087,2025-10-02 13:34:10,J029,Old Airport Road,J035,Domlur,3,1952,Festival Surge,Weekday,True,Clear,False,0.0,False,168.2,20.3,17.0,0.525,31.7,34.3,103.6,0.089,0.205,True,0.89,Festival crowd surge detected - alternate route and extended cycle recommended
RE100088,2025-10-24 18:17:31,J025,Bannerghatta Road,J031,Cubbon Road,3,2217,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,194.8,17.9,14.0,1.0,8.3,69.8,341.1,0.127,0.293,True,0.9,Heavy congestion detected - signal timing extended and reroute suggested
RE100089,2025-02-18 06:19:02,J021,Vijayanagar,J023,Basavanagudi,1,657,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,86.7,28.6,23.0,0.464,25.2,29.0,187.0,0.14,0.323,False,0.987,Moderate traffic flow - standard adaptive signal timing in effect
RE100090,2026-02-03 20:47:17,J018,Nagawara,J024,JP Nagar,3,1917,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,175.4,16.7,9.9,0.584,23.5,38.6,158.6,0.126,0.291,True,0.952,Moderate traffic flow - standard adaptive signal timing in effect
RE100091,2025-01-20 16:53:09,J028,Tumkur Road,J031,Cubbon Road,3,1323,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,111.5,34.1,19.2,0.914,9.6,60.0,132.7,0.066,0.153,False,0.942,Heavy congestion detected - signal timing extended and reroute suggested
RE100092,2026-06-21 14:56:29,J014,Electronic City Toll,J018,Nagawara,2,1445,Recurrent Congestion,Weekend,False,Rain,True,11.1,False,147.2,16.9,10.1,0.387,28.6,20.8,103.2,0.08,0.184,True,0.893,Light rain detected - minor speed reduction advised
RE100093,2025-02-22 09:26:37,J031,Cubbon Road,J033,Trinity Circle,1,672,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,64.5,55.2,32.0,1.0,9.3,61.9,474.5,0.183,0.422,False,0.908,Heavy congestion detected - signal timing extended and reroute suggested
RE100094,2025-10-12 19:24:50,J040,City Market,J002,Marathahalli,2,1170,Recurrent Congestion,Weekend,False,Clear,False,0.0,False,115.9,40.5,28.6,0.986,8.6,64.4,485.9,0.162,0.373,False,0.916,Heavy congestion detected - signal timing extended and reroute suggested
RE100095,2025-10-13 08:57:11,J040,City Market,J001,Silk Board,3,1665,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,144.9,35.7,23.4,1.0,9.6,61.8,329.9,0.141,0.326,False,0.92,Heavy congestion detected - signal timing extended and reroute suggested
RE100096,2025-04-23 18:15:27,J027,Mysore Road,J029,Old Airport Road,1,848,Recurrent Congestion,Weekday,False,Clear,False,0.0,False,79.4,54.4,32.8,1.0,9.6,64.1,446.3,0.186,0.431,False,0.933,Heavy congestion detected - signal timing extended and reroute suggested
