record_id,timestamp,parking_lot_id,junction_id,junction_name,lot_type,capacity,occupied_slots,occupancy_pct,day_type,is_festival,is_rain,rainfall_mm,is_accident_nearby,near_full,turnover_rate_per_hr,avg_search_time_sec,search_distance_km,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
PK600015,2025-07-16 19:55:36,J019-P1,J019,RT Nagar,Mall Basement,439,369,84.1,Weekday,False,True,8.3,False,False,0.35,150.0,0.55,0.157,0.363,0.903,Lot filling up - real-time slot guidance recommended
PK600016,2026-06-16 14:40:43,J011-P3,J011,Indiranagar 100ft Road,Market Area,152,58,38.2,Weekday,False,True,21.5,False,False,0.59,29.9,0.12,0.028,0.064,0.906,Ample parking available - standard guidance sufficient
PK600017,2026-01-04 17:30:28,J008-P3,J008,Jayanagar 4th Block,On-Street Metered,84,68,81.0,Weekend,False,False,0.0,False,False,0.49,116.5,0.52,0.135,0.312,0.948,Lot filling up - real-time slot guidance recommended
PK600018,2025-04-14 07:10:27,J004-P2,J004,Hebbal,Office Complex,291,44,15.1,Weekday,True,False,0.0,False,False,0.45,26.4,0.05,0.013,0.03,0.929,Festival demand surge expected - pre-booking recommended
PK600019,2025-03-28 18:44:07,J040-P2,J040,City Market,Office Complex,314,245,78.0,Weekday,False,False,0.0,False,False,0.4,103.3,0.45,0.115,0.266,0.964,Lot filling up - real-time slot guidance recommended
PK600020,2026-05-15 09:14:21,J038-P2,J038,Varthur,Mall Basement,466,30,6.4,Weekday,False,False,0.0,False,False,0.64,48.2,0.2,0.032,0.074,0.972,Ample parking available - standard guidance sufficient
PK600021,2026-05-20 08:40:13,J037-P3,J037,Kadugodi,On-Street Metered,88,4,4.5,Weekday,False,False,0.0,False,False,0.64,20.2,0.08,0.029,0.067,0.973,Ample parking available - standard guidance sufficient
PK600022,2025-08-30 17:13:21,J040-P1,J040,City Market,Multi-Level Public,728,621,85.3,Weekend,False,False,0.0,False,False,0.32,157.2,0.93,0.21,0.484,0.946,Lot filling up - real-time slot guidance recommended
PK600023,2026-05-05 14:48:35,J033-P3,J033,Trinity Circle,On-Street Metered,140,91,65.0,Weekday,False,False,0.0,False,False,0.43,17.4,0.09,0.025,0.058,0.982,Ample parking available - standard guidance sufficient
PK600024,2025-05-22 10:19:51,J012-P1,J012,Koramangala Sony World,Office Complex,235,207,88.1,Weekday,False,False,0.0,False,False,0.39,166.3,0.59,0.175,0.404,0.929,Lot filling up - real-time slot guidance recommended
PK600025,2025-01-29 18:15:29,J041-P1,J041,Chalukya Circle,Office Complex,316,277,87.7,Weekday,False,True,2.3,False,False,0.37,169.4,0.73,0.192,0.445,0.887,Lot filling up - real-time slot guidance recommended
PK600026,2025-09-08 14:37:28,J016-P2,J016,Sarjapur Road,Multi-Level Public,735,549,74.7,Weekday,False,False,0.0,False,False,0.45,67.5,0.2,0.052,0.12,0.966,Ample parking available - standard guidance sufficient
PK600027,2025-04-04 05:21:20,J028-P1,J028,Tumkur Road,Multi-Level Public,737,119,16.1,Weekday,False,False,0.0,False,False,0.61,15.0,0.05,0.037,0.086,0.96,Ample parking available - standard guidance sufficient
PK600028,2025-12-27 10:18:31,J038-P3,J038,Varthur,Office Complex,233,45,19.3,Weekend,False,False,0.0,False,False,0.67,39.6,0.17,0.036,0.082,0.95,Ample parking available - standard guidance sufficient
PK600029,2025-02-24 16:17:24,J026-P3,J026,Hosur Road,On-Street Metered,105,60,57.1,Weekday,False,False,0.0,False,False,0.51,31.4,0.18,0.041,0.095,0.954,Ample parking available - standard guidance sufficient
PK600030,2026-06-29 10:41:11,J028-P1,J028,Tumkur Road,On-Street Metered,26,16,61.5,Weekday,False,False,0.0,False,False,0.47,35.7,0.16,0.036,0.084,0.98,Ample parking available - standard guidance sufficient
PK600031,2025-09-08 16:46:45,J029-P3,J029,Old Airport Road,On-Street Metered,27,21,77.8,Weekday,False,True,12.4,False,False,0.45,112.3,0.34,0.117,0.27,0.947,Lot filling up - real-time slot guidance recommended
PK600032,2025-06-22 23:23:05,J039-P2,J039,KR Market,Market Area,71,20,28.2,Weekend,False,True,22.0,False,False,0.62,32.1,0.19,0.038,0.087,0.925,Ample parking available - standard guidance sufficient
PK600033,2025-12-12 07:48:35,J012-P3,J012,Koramangala Sony World,Mall Basement,394,88,22.3,Weekday,False,False,0.0,False,False,0.59,28.1,0.13,0.022,0.05,0.955,Ample parking available - standard guidance sufficient
PK600034,2025-05-18 16:53:56,J038-P3,J038,Varthur,Mall Basement,431,76,17.6,Weekend,False,False,0.0,False,False,0.72,15.0,0.05,0.01,0.023,0.972,Ample parking available - standard guidance sufficient
PK600035,2026-05-29 12:13:37,J034-P1,J034,Ulsoor,On-Street Metered,74,48,64.9,Weekday,False,False,0.0,False,False,0.68,32.0,0.12,0.027,0.063,0.932,Ample parking available - standard guidance sufficient
PK600036,2026-03-25 08:55:57,J042-P3,J042,Anand Rao Circle,Office Complex,296,42,14.2,Weekday,False,False,0.0,False,False,0.63,37.8,0.1,0.023,0.054,0.97,Ample parking available - standard guidance sufficient
PK600037,2026-04-21 07:29:22,J031-P1,J031,Cubbon Road,Office Complex,320,10,3.1,Weekday,False,False,0.0,False,False,0.74,41.8,0.13,0.028,0.065,0.971,Ample parking available - standard guidance sufficient
PK600038,2025-08-25 19:41:15,J009-P2,J009,Majestic,On-Street Metered,87,31,35.6,Weekday,False,False,0.0,False,False,0.53,37.8,0.15,0.038,0.087,0.967,Ample parking available - standard guidance sufficient
PK600039,2025-08-09 19:18:23,J016-P2,J016,Sarjapur Road,Multi-Level Public,724,241,33.3,Weekend,False,False,0.0,False,False,0.67,33.8,0.09,0.022,0.05,0.98,Ample parking available - standard guidance sufficient
PK600040,2025-10-08 15:32:55,J008-P1,J008,Jayanagar 4th Block,Market Area,173,9,5.2,Weekday,False,False,0.0,False,False,0.57,47.1,0.19,0.04,0.092,0.973,Ample parking available - standard guidance sufficient
PK600041,2025-10-05 12:48:53,J017-P2,J017,Whitefield ITPL,Office Complex,408,117,28.7,Weekend,False,False,0.0,False,False,0.66,29.8,0.09,0.032,0.074,0.951,Ample parking available - standard guidance sufficient
PK600042,2025-04-22 10:07:12,J003-P2,J003,KR Puram,Office Complex,169,114,67.5,Weekday,False,False,0.0,False,False,0.49,44.7,0.14,0.043,0.1,0.962,Ample parking available - standard guidance sufficient
PK600043,2025-06-01 09:19:52,J020-P2,J020,Malleshwaram Circle,Office Complex,272,107,39.3,Weekend,False,True,13.2,False,False,0.57,41.3,0.19,0.061,0.141,0.945,Ample parking available - standard guidance sufficient
PK600044,2025-03-13 22:53:37,J030-P3,J030,MG Road,Mall Basement,469,322,68.7,Weekday,False,False,0.0,False,False,0.27,47.8,0.22,0.049,0.114,0.953,Ample parking available - standard guidance sufficient
PK600045,2025-11-03 21:29:31,J026-P1,J026,Hosur Road,Multi-Level Public,670,206,30.7,Weekday,False,False,0.0,False,False,0.54,15.0,0.06,0.01,0.023,0.972,Ample parking available - standard guidance sufficient
PK600046,2025-03-16 14:16:53,J037-P2,J037,Kadugodi,Office Complex,242,74,30.6,Weekend,False,False,0.0,False,False,0.69,37.5,0.11,0.04,0.092,0.969,Ample parking available - standard guidance sufficient
PK600047,2025-06-19 10:37:22,J015-P2,J015,Bellandur,On-Street Metered,100,86,86.0,Weekday,False,True,32.7,False,False,0.51,153.0,0.55,0.153,0.354,0.888,Lot filling up - real-time slot guidance recommended
PK600048,2026-02-26 00:46:17,J032-P1,J032,Richmond Circle,On-Street Metered,96,17,17.7,Weekday,False,False,0.0,False,False,0.6,32.3,0.13,0.032,0.074,0.941,Ample parking available - standard guidance sufficient
PK600049,2026-04-05 19:47:35,J042-P3,J042,Anand Rao Circle,Mall Basement,411,363,88.3,Weekend,False,False,0.0,False,False,0.33,180.8,0.86,0.224,0.518,0.934,Lot filling up - real-time slot guidance recommended
PK600050,2026-05-01 09:27:39,J026-P1,J026,Hosur Road,On-Street Metered,143,98,68.5,Weekday,True,False,0.0,False,False,0.5,40.4,0.18,0.041,0.094,0.899,Festival demand surge expected - pre-booking recommended
PK600051,2026-03-28 07:27:26,J024-P1,J024,JP Nagar,On-Street Metered,51,15,29.4,Weekend,False,False,0.0,False,False,0.58,53.0,0.16,0.046,0.105,0.952,Ample parking available - standard guidance sufficient
PK600052,2025-02-23 13:56:46,J015-P2,J015,Bellandur,Multi-Level Public,755,564,74.7,Weekend,False,False,0.0,False,False,0.5,90.7,0.38,0.103,0.238,0.974,Ample parking available - standard guidance sufficient
PK600053,2026-02-21 06:17:29,J009-P2,J009,Majestic,Market Area,121,27,22.3,Weekend,False,False,0.0,False,False,0.55,39.4,0.12,0.039,0.091,0.981,Ample parking available - standard guidance sufficient
PK600054,2025-10-10 19:00:28,J018-P3,J018,Nagawara,Mall Basement,508,324,63.8,Weekday,False,False,0.0,False,False,0.67,47.4,0.16,0.066,0.153,0.964,Ample parking available - standard guidance sufficient
PK600055,2025-03-04 18:59:16,J027-P2,J027,Mysore Road,Multi-Level Public,709,542,76.4,Weekday,False,False,0.0,False,False,0.38,80.3,0.38,0.098,0.226,0.97,Lot filling up - real-time slot guidance recommended
PK600056,2025-05-12 18:57:41,J027-P2,J027,Mysore Road,Mall Basement,380,268,70.5,Weekday,False,False,0.0,False,False,0.54,65.1,0.32,0.08,0.185,0.963,Ample parking available - standard guidance sufficient
PK600057,2025-06-27 17:41:39,J001-P1,J001,Silk Board,Mall Basement,487,308,63.2,Weekday,False,False,0.0,False,False,0.47,28.8,0.11,0.041,0.096,0.938,Ample parking available - standard guidance sufficient
PK600058,2025-04-07 22:01:29,J010-P1,J010,Shivajinagar,On-Street Metered,84,28,33.3,Weekday,True,False,0.0,False,False,0.43,19.8,0.08,0.023,0.054,0.925,Festival demand surge expected - pre-booking recommended
PK600059,2026-03-31 18:19:24,J027-P2,J027,Mysore Road,Market Area,73,20,27.4,Weekday,False,False,0.0,False,False,0.56,46.9,0.13,0.046,0.106,0.987,Ample parking available - standard guidance sufficient
PK600060,2026-04-20 08:51:27,J014-P2,J014,Electronic City Toll,On-Street Metered,91,7,7.7,Weekday,False,False,0.0,False,False,0.55,21.2,0.08,0.037,0.085,0.953,Ample parking available - standard guidance sufficient
PK600061,2025-10-17 13:55:41,J001-P3,J001,Silk Board,Office Complex,257,211,82.1,Weekday,False,False,0.0,False,False,0.3,148.9,0.56,0.154,0.356,0.937,Lot filling up - real-time slot guidance recommended
PK600062,2026-05-04 05:25:54,J008-P3,J008,Jayanagar 4th Block,Mall Basement,394,44,11.2,Weekday,False,False,0.0,False,False,0.46,31.6,0.13,0.022,0.052,0.979,Ample parking available - standard guidance sufficient
PK600063,2026-04-19 16:14:59,J006-P1,J006,Tin Factory,Office Complex,242,101,41.7,Weekend,False,False,0.0,False,False,0.39,18.2,0.05,0.018,0.04,0.957,Ample parking available - standard guidance sufficient
PK600064,2026-02-20 18:17:33,J037-P3,J037,Kadugodi,Office Complex,305,230,75.4,Weekday,False,False,0.0,False,False,0.45,92.8,0.32,0.102,0.235,0.963,Lot filling up - real-time slot guidance recommended
PK600065,2025-01-18 08:40:47,J023-P2,J023,Basavanagudi,Multi-Level Public,714,100,14.0,Weekend,False,False,0.0,False,False,0.72,56.1,0.14,0.05,0.115,0.942,Ample parking available - standard guidance sufficient
PK600066,2025-04-26 09:13:30,J023-P1,J023,Basavanagudi,Mall Basement,467,141,30.2,Weekend,False,True,10.6,False,False,0.54,47.2,0.22,0.052,0.121,0.921,Ample parking available - standard guidance sufficient
PK600067,2025-06-24 18:49:50,J014-P2,J014,Electronic City Toll,On-Street Metered,104,96,92.3,Weekday,False,True,7.3,False,True,0.34,236.5,0.81,0.247,0.572,0.875,Lot filling up - real-time slot guidance recommended
PK600068,2025-09-10 20:39:46,J008-P1,J008,Jayanagar 4th Block,On-Street Metered,80,28,35.0,Weekday,False,False,0.0,False,False,0.62,28.0,0.1,0.027,0.063,0.975,Ample parking available - standard guidance sufficient
PK600069,2025-11-26 20:02:00,J004-P3,J004,Hebbal,Market Area,92,11,12.0,Weekday,False,False,0.0,False,False,0.77,23.9,0.13,0.026,0.061,0.95,Ample parking available - standard guidance sufficient
PK600070,2025-10-07 14:32:19,J042-P2,J042,Anand Rao Circle,Multi-Level Public,670,443,66.1,Weekday,False,False,0.0,False,False,0.45,33.7,0.12,0.025,0.059,0.956,Ample parking available - standard guidance sufficient
PK600071,2026-04-03 19:25:16,J002-P3,J002,Marathahalli,Mall Basement,413,264,63.9,Weekday,False,False,0.0,False,False,0.45,38.1,0.14,0.025,0.057,0.954,Ample parking available - standard guidance sufficient
PK600072,2025-12-28 18:32:33,J006-P2,J006,Tin Factory,Market Area,53,10,18.9,Weekend,False,False,0.0,False,False,0.47,31.7,0.07,0.031,0.072,0.955,Ample parking available - standard guidance sufficient
PK600073,2025-01-11 19:46:39,J002-P3,J002,Marathahalli,Market Area,130,27,20.8,Weekend,False,False,0.0,False,False,0.65,27.2,0.11,0.031,0.071,0.979,Ample parking available - standard guidance sufficient
PK600074,2025-05-26 07:10:32,J033-P1,J033,Trinity Circle,Office Complex,352,50,14.2,Weekday,False,False,0.0,False,False,0.48,33.1,0.15,0.023,0.052,0.989,Ample parking available - standard guidance sufficient
PK600075,2025-07-04 14:41:50,J022-P3,J022,Rajajinagar,On-Street Metered,53,43,81.1,Weekday,False,True,24.1,False,False,0.48,137.7,0.5,0.134,0.31,0.907,Lot filling up - real-time slot guidance recommended
PK600076,2025-04-22 17:43:00,J035-P1,J035,Domlur,On-Street Metered,88,81,92.0,Weekday,False,False,0.0,False,True,0.41,224.2,0.84,0.24,0.553,0.962,Lot filling up - real-time slot guidance recommended
PK600077,2025-02-26 18:34:06,J015-P1,J015,Bellandur,Office Complex,359,289,80.5,Weekday,False,False,0.0,False,False,0.4,106.4,0.42,0.113,0.261,0.947,Lot filling up - real-time slot guidance recommended
PK600078,2025-08-21 15:48:05,J041-P1,J041,Chalukya Circle,Mall Basement,425,58,13.6,Weekday,False,False,0.0,False,False,0.61,54.7,0.09,0.04,0.092,0.948,Ample parking available - standard guidance sufficient
PK600079,2026-04-28 12:04:36,J013-P3,J013,HSR BDA Complex,On-Street Metered,140,89,63.6,Weekday,False,False,0.0,False,False,0.36,29.8,0.13,0.042,0.096,0.96,Ample parking available - standard guidance sufficient
PK600080,2026-04-26 19:54:50,J010-P3,J010,Shivajinagar,Market Area,87,17,19.5,Weekend,False,False,0.0,False,False,0.59,29.2,0.1,0.032,0.074,0.938,Ample parking available - standard guidance sufficient
PK600081,2025-02-01 07:10:37,J004-P3,J004,Hebbal,Mall Basement,464,84,18.1,Weekend,False,False,0.0,False,False,0.47,25.6,0.09,0.014,0.031,0.982,Ample parking available - standard guidance sufficient
PK600082,2026-06-17 12:44:58,J021-P1,J021,Vijayanagar,Office Complex,279,217,77.8,Weekday,False,True,53.6,False,False,0.53,88.1,0.42,0.105,0.242,0.917,Lot filling up - real-time slot guidance recommended
PK600083,2025-11-19 12:31:24,J018-P1,J018,Nagawara,Mall Basement,510,72,14.1,Weekday,False,False,0.0,False,False,0.59,15.0,0.08,0.01,0.023,0.939,Ample parking available - standard guidance sufficient
PK600084,2025-01-31 09:09:16,J006-P1,J006,Tin Factory,Multi-Level Public,702,490,69.8,Weekday,False,False,0.0,False,False,0.46,57.9,0.29,0.059,0.137,0.952,Ample parking available - standard guidance sufficient
PK600085,2025-05-13 16:20:02,J018-P3,J018,Nagawara,On-Street Metered,20,14,70.0,Weekday,False,False,0.0,False,False,0.4,64.1,0.25,0.092,0.211,0.984,Ample parking available - standard guidance sufficient
PK600086,2025-07-05 14:19:44,J028-P3,J028,Tumkur Road,Multi-Level Public,718,458,63.8,Weekend,False,True,21.1,False,False,0.52,18.6,0.07,0.019,0.045,0.941,Ample parking available - standard guidance sufficient
PK600087,2025-08-09 13:19:02,J039-P1,J039,KR Market,On-Street Metered,72,59,81.9,Weekend,False,True,35.2,False,False,0.48,142.1,0.71,0.173,0.399,0.912,Lot filling up - real-time slot guidance recommended
PK600088,2025-09-24 11:26:00,J025-P3,J025,Bannerghatta Road,On-Street Metered,85,53,62.4,Weekday,False,False,0.0,False,False,0.59,44.2,0.19,0.066,0.152,0.966,Ample parking available - standard guidance sufficient
PK600089,2025-01-14 07:57:33,J027-P2,J027,Mysore Road,Market Area,93,93,100.0,Weekday,True,False,0.0,False,True,0.41,421.5,1.3,0.402,0.929,0.804,Lot near capacity - reroute to nearby alternate parking recommended
PK600090,2026-01-27 09:05:27,J038-P2,J038,Varthur,Multi-Level Public,723,570,78.8,Weekday,True,False,0.0,False,False,0.42,114.0,0.44,0.144,0.333,0.905,Lot filling up - real-time slot guidance recommended
PK600091,2025-03-14 09:12:11,J031-P2,J031,Cubbon Road,On-Street Metered,90,67,74.4,Weekday,True,False,0.0,False,False,0.45,91.2,0.39,0.095,0.22,0.9,Festival demand surge expected - pre-booking recommended
PK600092,2026-06-15 19:38:52,J007-P3,J007,Banashankari,Office Complex,244,14,5.7,Weekday,False,False,0.0,False,False,0.54,26.9,0.09,0.016,0.036,0.966,Ample parking available - standard guidance sufficient
PK600093,2025-10-24 06:05:41,J040-P3,J040,City Market,Office Complex,266,37,13.9,Weekday,False,False,0.0,False,False,0.48,15.8,0.05,0.014,0.032,0.976,Ample parking available - standard guidance sufficient
PK600094,2025-02-24 18:44:03,J022-P3,J022,Rajajinagar,Mall Basement,406,319,78.6,Weekday,False,False,0.0,False,False,0.35,92.0,0.38,0.097,0.224,0.939,Lot filling up - real-time slot guidance recommended
PK600095,2025-11-01 07:52:57,J020-P3,J020,Malleshwaram Circle,Market Area,111,111,100.0,Weekend,True,False,0.0,False,True,0.48,385.0,1.03,0.34,0.786,0.815,Lot near capacity - reroute to nearby alternate parking recommended
PK600096,2025-12-10 20:55:06,J029-P3,J029,Old Airport Road,Mall Basement,491,394,80.2,Weekday,False,True,1.9,False,False,0.37,138.3,0.46,0.137,0.316,0.904,Lot filling up - real-time slot guidance recommended
PK600097,2025-02-24 10:28:13,J016-P1,J016,Sarjapur Road,Mall Basement,435,87,20.0,Weekday,False,False,0.0,False,False,0.62,34.6,0.12,0.019,0.044,0.956,Ample parking available - standard guidance sufficient
PK600098,2026-06-28 08:51:02,J006-P3,J006,Tin Factory,On-Street Metered,85,12,14.1,Weekend,False,False,0.0,False,False,0.61,17.9,0.1,0.019,0.043,0.954,Ample parking available - standard guidance sufficient
PK600099,2025-10-10 19:32:39,J038-P2,J038,Varthur,Office Complex,303,90,29.7,Weekday,False,True,19.8,False,False,0.6,37.6,0.13,0.039,0.09,0.894,Ample parking available - standard guidance sufficient
PK600100,2025-08-19 17:39:32,J031-P1,J031,Cubbon Road,Mall Basement,391,288,73.7,Weekday,False,False,0.0,False,False,0.37,92.3,0.44,0.117,0.27,0.954,Ample parking available - standard guidance sufficient
PK600101,2025-11-09 18:48:17,J009-P1,J009,Majestic,Multi-Level Public,657,585,89.0,Weekend,False,False,0.0,False,False,0.25,194.3,0.76,0.222,0.512,0.923,Lot filling up - real-time slot guidance recommended
PK600102,2025-01-15 08:59:25,J016-P2,J016,Sarjapur Road,On-Street Metered,20,3,15.0,Weekday,True,False,0.0,False,False,0.59,27.8,0.1,0.033,0.077,0.912,Festival demand surge expected - pre-booking recommended
PK600103,2025-09-08 18:34:26,J007-P2,J007,Banashankari,On-Street Metered,55,55,100.0,Weekday,False,True,1.0,False,True,0.46,417.3,0.97,0.378,0.874,0.812,Lot near capacity - reroute to nearby alternate parking recommended
PK600104,2025-05-11 13:49:22,J034-P2,J034,Ulsoor,On-Street Metered,38,28,73.7,Weekend,False,True,19.2,False,False,0.51,61.8,0.21,0.059,0.136,0.916,Ample parking available - standard guidance sufficient
PK600105,2026-05-09 10:27:14,J007-P3,J007,Banashankari,On-Street Metered,76,62,81.6,Weekend,False,False,0.0,False,False,0.48,112.4,0.36,0.108,0.25,0.925,Lot filling up - real-time slot guidance recommended
PK600106,2025-06-10 09:25:11,J018-P1,J018,Nagawara,Mall Basement,437,99,22.7,Weekday,False,True,36.7,False,False,0.58,53.6,0.22,0.052,0.121,0.896,Ample parking available - standard guidance sufficient
PK600107,2025-08-03 20:10:14,J023-P1,J023,Basavanagudi,On-Street Metered,131,49,37.4,Weekend,False,True,5.5,False,False,0.47,20.1,0.08,0.015,0.035,0.921,Ample parking available - standard guidance sufficient
PK600108,2026-04-14 09:15:24,J031-P3,J031,Cubbon Road,On-Street Metered,80,50,62.5,Weekday,True,False,0.0,False,False,0.53,51.0,0.22,0.066,0.152,0.929,Festival demand surge expected - pre-booking recommended
PK600109,2025-01-27 09:04:05,J027-P3,J027,Mysore Road,Market Area,101,101,100.0,Weekday,True,False,0.0,False,True,0.28,415.6,1.57,0.428,0.989,0.818,Lot near capacity - reroute to nearby alternate parking recommended
PK600110,2025-06-11 09:49:44,J011-P1,J011,Indiranagar 100ft Road,On-Street Metered,60,47,78.3,Weekday,False,False,0.0,False,False,0.28,123.6,0.41,0.127,0.294,0.966,Lot filling up - real-time slot guidance recommended
PK600111,2025-10-10 16:15:28,J037-P2,J037,Kadugodi,Office Complex,342,303,88.6,Weekday,False,False,0.0,False,False,0.44,177.9,0.72,0.19,0.439,0.931,Lot filling up - real-time slot guidance recommended
PK600112,2026-01-24 19:12:51,J002-P1,J002,Marathahalli,Market Area,84,19,22.6,Weekend,False,True,1.6,False,False,0.47,29.6,0.09,0.021,0.049,0.938,Ample parking available - standard guidance sufficient
PK600113,2025-03-26 11:04:47,J008-P3,J008,Jayanagar 4th Block,Market Area,200,183,91.5,Weekday,False,True,2.8,False,True,0.36,222.2,0.91,0.26,0.6,0.854,Lot filling up - real-time slot guidance recommended
PK600114,2026-01-16 22:47:28,J033-P2,J033,Trinity Circle,On-Street Metered,96,34,35.4,Weekday,False,False,0.0,False,False,0.6,36.7,0.14,0.032,0.074,0.96,Ample parking available - standard guidance sufficient
PK600115,2025-10-20 08:06:20,J018-P1,J018,Nagawara,Mall Basement,506,248,49.0,Weekday,True,False,0.0,False,False,0.54,19.9,0.07,0.02,0.047,0.894,Festival demand surge expected - pre-booking recommended
PK600116,2025-03-27 16:21:41,J002-P2,J002,Marathahalli,Market Area,135,21,15.6,Weekday,False,False,0.0,False,False,0.49,33.7,0.14,0.022,0.051,0.99,Ample parking available - standard guidance sufficient
PK600117,2025-09-22 09:22:05,J008-P1,J008,Jayanagar 4th Block,Office Complex,247,227,91.9,Weekday,False,True,11.7,False,True,0.29,228.7,1.02,0.25,0.578,0.887,Lot filling up - real-time slot guidance recommended
PK600118,2026-05-15 21:49:33,J016-P1,J016,Sarjapur Road,On-Street Metered,112,36,32.1,Weekday,False,False,0.0,False,False,0.39,23.8,0.09,0.023,0.053,0.96,Ample parking available - standard guidance sufficient
PK600119,2025-04-19 21:16:10,J012-P2,J012,Koramangala Sony World,Multi-Level Public,758,204,26.9,Weekend,False,False,0.0,False,False,0.63,33.4,0.14,0.035,0.081,0.967,Ample parking available - standard guidance sufficient
PK600120,2026-04-06 15:48:37,J024-P2,J024,JP Nagar,Market Area,89,18,20.2,Weekday,False,False,0.0,False,False,0.54,23.9,0.08,0.026,0.06,0.963,Ample parking available - standard guidance sufficient
PK600121,2026-06-07 11:52:19,J022-P2,J022,Rajajinagar,Market Area,171,146,85.4,Weekend,False,False,0.0,False,False,0.43,162.1,0.48,0.146,0.337,0.948,Lot filling up - real-time slot guidance recommended
PK600122,2026-02-03 15:38:58,J017-P1,J017,Whitefield ITPL,Market Area,175,30,17.1,Weekday,False,False,0.0,False,False,0.46,23.5,0.11,0.018,0.041,0.95,Ample parking available - standard guidance sufficient
PK600123,2025-01-17 08:35:41,J029-P3,J029,Old Airport Road,Market Area,54,41,75.9,Weekday,False,False,0.0,False,False,0.31,103.5,0.29,0.097,0.225,0.971,Lot filling up - real-time slot guidance recommended
PK600124,2025-10-18 16:23:52,J023-P2,J023,Basavanagudi,Market Area,156,32,20.5,Weekend,False,False,0.0,False,False,0.43,33.3,0.13,0.049,0.113,0.984,Ample parking available - standard guidance sufficient
PK600125,2025-04-10 18:59:08,J023-P3,J023,Basavanagudi,Market Area,124,27,21.8,Weekday,False,False,0.0,False,False,0.61,35.4,0.13,0.045,0.103,0.957,Ample parking available - standard guidance sufficient
